row_label_raw,row_label_full,Bên liên quan > Công ty VingroupInvestment Việt Nam > Công ty Cổ phần Đầu tưVinpearl Invest (công ty con đến ngày 22 tháng 8 năm 2022),Nội dung nghiệp vụ > Cho vay > Lãi cho vay > Gớp vốn bằng tiền > Cho vay > Nhận chuyển nhượng khoản đầu tư,Đơn vị tính: triệu VND > Năm nay > 2.958.500 > 103.632 > - > 21.859 > -,Đơn vị tính: triệu VND > Năm trước > 56.500 > 249 > 675.000 > 1.183.900 > 584.400,numeric__Nội dung nghiệp vụ > Cho vay > Lãi cho vay > Gớp vốn bằng tiền > Cho vay > Nhận chuyển nhượng khoản đầu tư,numeric__Đơn vị tính: triệu VND > Năm nay > 2.958.500 > 103.632 > - > 21.859 > -,numeric__Đơn vị tính: triệu VND > Năm trước > 56.500 > 249 > 675.000 > 1.183.900 > 584.400
Công ty VinHMS,Công ty VinHMS,Công ty VinHMS,Gớp vốn bằng tiền,375.012,-,,375012.0,
Công ty VinHMS,Công ty VinHMS,Công ty VinHMS,Cho vay,-,102.600,,,102600.0
Công ty VinCSS,Công ty VinCSS,Công ty VinCSS,Gớp vốn bằng tiền,391.103,-,,391103.0,
Công ty VinCSS,Công ty VinCSS,Công ty VinCSS,Đi vay,84.600,-,,84600.0,
Công ty VinCSS,Công ty VinCSS,Công ty VinCSS,Cho vay,-,132.600,,,132600.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Đi vay,455.000,2.125.000,,455000.0,2125000.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Lãi đi vay,99.106,107.485,,99106.0,107485.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Chi phí tài trợ,-,199.260,,,199260.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Hoàn vốn,-,626.759,,,626759.0
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Cho vay,-,165.000,,,165000.0
Công ty Vantix,Công ty Vantix,Công ty Vantix,Đi vay,-,412.500,,,412500.0
Công ty Vantix,Công ty Vantix,Công ty Vantix,Gớp vốn bằng tiền,-,298.125,,,298125.0
Công ty VinFast Auto,Công ty VinFast Auto,Công ty VinFast Auto,Phải thu chuyển nhượng khoản đầu tư,26.017.160,-,,26017160.0,
Công ty VinFast Auto,Công ty VinFast Auto,Công ty VinFast Auto,Cấn trừ phải thu chuyển nhượng khoản đầu tư với đặt cọc,235.000,-,,235000.0,
Công ty VinFast Auto,Công ty VinFast Auto,Công ty VinFast Auto,Gớp vốn bằng tiền,163.985,263.196,,163985.0,263196.0
Công ty VinFast Auto,Công ty VinFast Auto,Công ty VinFast Auto,Nhận thanh toán theo hợp đồng chuyển nhượng khoản đầu tư,-,235.000,,,235000.0
Công ty VinAI,Công ty VinAI,Công ty VinAI,Đi vay,17.000,331.800,,17000.0,331800.0
Công ty VinAI,Công ty VinAI,Công ty VinAI,Gớp vốn bằng tiền,-,633.953,,,633953.0
Công ty VinES,Công ty VinES,Công ty VinES,Cho vay,13.458.890,-,,13458890.0,
Công ty VinES,Công ty VinES,Công ty VinES,Lãi cho vay,459.393,-,,459393.0,
Công ty VinES,Công ty VinES,Công ty VinES,Gớp vốn bằng tiền,-,1.377.000,,,1377000.0
Công ty VinES,Công ty VinES,Công ty VinES,Đi vay,-,500.000,,,500000.0
Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Đi vay,285.000,1.800.000,,285000.0,1800000.0
Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Lãi đi vay,68.576,41.187,,68576.0,41187.0
Công ty VinBigdata,Công ty VinBigdata,Công ty VinBigdata,Gớp vốn bằng tiền,-,466.121,,,466121.0
Công ty VinBigdata,Công ty VinBigdata,Công ty VinBigdata,Đi vay,146.000,460.000,,146000.0,460000.0
Công ty Cổ phần Đầu tư và Phát triển NewCo (công ty con đến ngày 31 tháng 3 năm 2022),Công ty Cổ phần Đầu tư và Phát triển NewCo (công ty con đến ngày 31 tháng 3 năm 2022),Công ty Cổ phần Đầu tư và Phát triển NewCo (công ty con đến ngày 31 tháng 3 năm 2022),Đi vay,-,5.400.000,,,5400000.0
Công ty Tây Tăng Long,Công ty Tây Tăng Long,Công ty Tây Tăng Long,Đi vay,-,230.000,,,230000.0
