row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Công ty Thành Phố Xanh,Công ty Thành Phố Xanh,Công ty Thành Phố Xanh,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,-,7.924.500,,,,7924500.0
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,-,475.166,,,,475166.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Lợi nhuận phải trả cho mục đích hợp tác đầu tưĐặt cọc cho mục đích hợp tác đầu tưĐặt cọc cho mục đích chuyển nhượng khoản đầu tưPhải trả ngắn hạn khác,-8.580.668-219,129.592410.230199.700-,,,,
Công ty VinFast Auto,Công ty Vinhomes > Công ty VinFast Auto,Công ty VinFast Auto,Công ty con,Thanh toán theo hợp đồng chuyển nhượng khoản đầu tư,-,235.000,,,,235000.0
Công ty Cổ phần One Mount,Công ty Vinhomes > Công ty Cổ phần One Mount,Công ty Cổ phần One Mount,Công ty con đến ngày 30 tháng 3 năm 2022 và công ty liên kết đến ngày 30 tháng 6 năm 2022,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,-,266.750,,,,266750.0
Consumer,Công ty Vinhomes > Consumer,Consumer,Công ty con đến ngày 30 tháng 3 năm 2022 và công ty liên kết đến ngày 30 tháng 6 năm 2022,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,-,266.750,,,,266750.0
Công ty Vinpearl,Công ty Vinhomes > Công ty Vinpearl,Công ty Vinpearl,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,1.369.106,-,,,1369106.0,
Công ty Vincom Retail,Công ty Vinhomes > Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,894.146,-,,,894146.0,
Các công ty khác,Công ty Vinhomes > Các công ty khác,Các công ty khác,Công ty con,Phải trả khác,133.362,-,,,133362.0,
,,,,,10.977.501,9.640.938,,,10977501.0,9640938.0
