row_label_raw,row_label_full,col_0,Don vị tính: triệu VND,Don vị tính: triệu VND_1,numeric__Don vị tính: triệu VND,numeric__Don vị tính: triệu VND_1
,,,Năm nay,Năm trước,,
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.994.381,4.984.248,1994381.0,4984248.0
Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,398.876,996.850,398876.0,996850.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí dự phòng không đủ điều kiện khấu trừ,Các khoản điều chỉnh: > Chi phí dự phòng không đủ điều kiện khấu trừ,Chi phí dự phòng không đủ điều kiện khấu trừ,237.312,-,237312.0,
Chi phí từ thiện và hỗ trợ,Các khoản điều chỉnh: > Chi phí từ thiện và hỗ trợ,Chi phí từ thiện và hỗ trợ,-,70.944,,70944.0
Cổ tức,Các khoản điều chỉnh: > Cổ tức,Cổ tức,(1.218.255),(669.845),-1218255.0,-669845.0
Lãi thanh lý cổ phiếu là cổ tức,Các khoản điều chỉnh: > Lãi thanh lý cổ phiếu là cổ tức,Lãi thanh lý cổ phiếu là cổ tức,(344.000),-,-344000.0,
Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,Các khoản điều chỉnh: > Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,264.991,261.937,264991.0,261937.0
Chi phí không được khấu trừ kỳ trước nhưng được khấu trừ kỳ này,Các khoản điều chỉnh: > Chi phí không được khấu trừ kỳ trước nhưng được khấu trừ kỳ này,Chi phí không được khấu trừ kỳ trước nhưng được khấu trừ kỳ này,-,(83.260),,-83260.0
Các khoản điều chỉnh khác,Các khoản điều chỉnh: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,88.565,25.518,88565.0,25518.0
Lỗ hoạt động bất động sản không được cán trừ,Các khoản điều chỉnh: > Lỗ hoạt động bất động sản không được cán trừ,Lỗ hoạt động bất động sản không được cán trừ,79.228,-,79228.0,
Lỗ hoạt động khác,Các khoản điều chỉnh: > Lỗ hoạt động khác,Lỗ hoạt động khác,1.020.114,-,1020114.0,
Chi phí thuế TNDN uốc tính,Các khoản điều chỉnh: > Chi phí thuế TNDN uốc tính,Chi phí thuế TNDN uốc tính,526.831,602.144,526831.0,602144.0
