row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Phải thu từ hợp đồng xây dựng – chuyển giao,Phải thu từ hợp đồng xây dựng – chuyển giao,Phải thu từ hợp đồng xây dựng – chuyển giao,1.615.658,2.184.377,1615658.0,2184377.0
Lãi phải thu từ các khoản cho vay và tiền gửi ngân hàng,Lãi phải thu từ các khoản cho vay và tiền gửi ngân hàng,Lãi phải thu từ các khoản cho vay và tiền gửi ngân hàng,1.557.275,1.101.089,1557275.0,1101089.0
Phải thu do chỉ hộ,Phải thu do chỉ hộ,Phải thu do chỉ hộ,354.238,361.305,354238.0,361305.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,380.569,462.259,380569.0,462259.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.907.740,4.109.030,3907740.0,4109030.0
Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu khác từ các bên khác,Trong đó: > Phải thu khác từ các bên khác,Phải thu khác từ các bên khác,1.923.307,2.432.811,1923307.0,2432811.0
Phải thu khác từ các bên liên quan(Thuyết minh số 31.2),Trong đó: > Phải thu khác từ các bên liên quan(Thuyết minh số 31.2),Phải thu khác từ các bên liên quan(Thuyết minh số 31.2),1.984.433,1.676.219,1984433.0,1676219.0
Dự phòng phải thu ngắn hạn khác khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,(105.825),(987),-105825.0,-987.0
Chi tiết các khoản phải thu khác chiếm trên 10% tổng phải thu khác:,Chi tiết các khoản phải thu khác chiếm trên 10% tổng phải thu khác:,Chi tiết các khoản phải thu khác chiếm trên 10% tổng phải thu khác:,,,,
Phải thu khác từ một tổ chức,Chi tiết các khoản phải thu khác chiếm trên 10% tổng phải thu khác: > Phải thu khác từ một tổ chức,Phải thu khác từ một tổ chức,1.251.003,1.230.583,1251003.0,1230583.0
