row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh số 22) > Công ty VinBigdata > Công ty VinES Hà Tĩnh > Công ty Bảo vệ Vincom > Công ty World Academy > Công ty VinCSS > Công ty VinBrain > Các công ty khác,Mối quan hệ > Vay ngắn hạn (Thuyết minh số 22) > Công ty con,Số cuối nămTriệu VND > Vay ngắn hạn (Thuyết minh số 22) > 210.000 > 132.500 > 98.800 > 78.500 > 43.400 > 37.200 > 77.700,"Lãi suất%/năm > Vay ngắn hạn (Thuyết minh số 22) > 9,00",Ngày đáo hạn > Vay ngắn hạn (Thuyết minh số 22) > Tháng 6 năm 2023 > Từ tháng 1 đến tháng 11năm 2023 > Từ tháng 8 đến tháng 12năm 2023 > Tháng 6 năm 2023 > Tháng 1 năm 2023 > Tháng 6 năm 2023 > Từ tháng 1 đến tháng 9năm 2023,numeric__Mối quan hệ > Vay ngắn hạn (Thuyết minh số 22) > Công ty con,numeric__Số cuối nămTriệu VND > Vay ngắn hạn (Thuyết minh số 22) > 210.000 > 132.500 > 98.800 > 78.500 > 43.400 > 37.200 > 77.700,"numeric__Lãi suất%/năm > Vay ngắn hạn (Thuyết minh số 22) > 9,00",numeric__Ngày đáo hạn > Vay ngắn hạn (Thuyết minh số 22) > Tháng 6 năm 2023 > Từ tháng 1 đến tháng 11năm 2023 > Từ tháng 8 đến tháng 12năm 2023 > Tháng 6 năm 2023 > Tháng 1 năm 2023 > Tháng 6 năm 2023 > Từ tháng 1 đến tháng 9năm 2023
,,,,678.100,,,,678100.0,,
Vay dài hạn (Thuyết minh số 22),Vay dài hạn (Thuyết minh số 22),Vay dài hạn (Thuyết minh số 22),Vay dài hạn (Thuyết minh số 22),Vay dài hạn (Thuyết minh số 22),Vay dài hạn (Thuyết minh số 22),Vay dài hạn (Thuyết minh số 22),,,,
Công ty VS,Vay dài hạn (Thuyết minh số 22) > Công ty VS,Công ty VS,Công ty con,4.541.835,"9,00",Tháng 6 năm 2024,,4541835.0,9.0,
Công ty VinSchool,Vay dài hạn (Thuyết minh số 22) > Công ty VinSchool,Công ty VinSchool,Công ty con,1.539.500,"9,00",Tháng 6 năm 2024,,1539500.0,9.0,
Công ty VinAcademy,Vay dài hạn (Thuyết minh số 22) > Công ty VinAcademy,Công ty VinAcademy,Công ty con,935.600,"9,00",Tháng 6 năm 2024,,935600.0,9.0,
Công ty Xavinco,Vay dài hạn (Thuyết minh số 22) > Công ty Xavinco,Công ty Xavinco,Công ty con,731.782,"9,00",Tháng 6 năm 2024,,731782.0,9.0,
Công ty Xalivico,Vay dài hạn (Thuyết minh số 22) > Công ty Xalivico,Công ty Xalivico,Công ty con,200.000,"9,00",Tháng 6 năm 2024,,200000.0,9.0,
,,,,7.948.717,,,,7948717.0,,
