row_label_raw,row_label_full,STT,Tên đơn vị,Thuyết minh,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số (triệu VND),Số cuối năm > Giá trị hợp lý (triệu VND),Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp (***),Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị ghi số (triệu VND),Số đầu năm > Giá trị hợp lý (triệu VND),Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp (***),numeric__Tên đơn vị,numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số (triệu VND),numeric__Số cuối năm > Giá trị hợp lý (triệu VND),numeric__Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp (***),numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị ghi số (triệu VND),numeric__Số đầu năm > Giá trị hợp lý (triệu VND),numeric__Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp (***)
1,1,1,Công ty VinFast,(1),(****),65.729.073,(**),(****),2.601.716.022,26.128.400,(**),"51,52%",,-1.0,,65729073.0,,,2601716022.0,26128400.0,,0.5152
2,2,2,Công ty Vinpearl,(2),2.652.332.166,38.033.564,(**),"99,99%",2.641.746.753,37.851.428,(**),"99,59%",,-2.0,2652332166.0,38033564.0,,0.9998999999999999,2641746753.0,37851428.0,,0.9959
3,3,3,Công ty Vinhomes,,2.902.482.480,21.991.675,148.712.648,"66,66%",2.902.482.480,21.991.675,238.003.563,"66,66%",,,2902482480.0,21991675.0,148712648.0,0.6666,2902482480.0,21991675.0,238003563.0,0.6666
4,4,4,Công ty Vinsmart,"(2), (3)",859.526.500,8.595.265,(**),"82,65%",619.526.500,6.195.265,(**),"67,34%",,,859526500.0,8595265.0,,0.8265,619526500.0,6195265.0,,0.6734
5,5,5,Công ty VMC Holding,,592.811.488,5.928.115,(**),"74,52%",592.811.488,5.928.115,(**),"74,52%",,,592811488.0,5928115.0,,0.7452,592811488.0,5928115.0,,0.7452
6,6,6,Công ty Grand Prix,,(*),3.699.424,(**),"100,00%",(*),3.699.424,(**),"100,00%",,,,3699424.0,,1.0,,3699424.0,,1.0
7,7,7,Công ty Vincom Retail,,427.715.101,3.501.335,11.812.713,"18,82%",427.715.101,3.501.335,12.874.225,"18,82%",,,427715101.0,3501335.0,11812713.0,0.1882,427715101.0,3501335.0,12874225.0,0.1882
8,8,8,Công ty SADO,(4),438.271.542,3.171.035,(**),"59,52%",633.806.134,3.098.884,(**),"99,52%",,-4.0,438271542.0,3171035.0,,0.5952000000000001,633806134.0,3098884.0,,0.9952
9,9,9,Công ty Xavinco,,190.875.000,2.071.029,(**),"95,44%",190.875.000,2.071.029,(**),"95,44%",,,190875000.0,2071029.0,,0.9544,190875000.0,2071029.0,,0.9544
10,10,10,Công ty VinAcademy,,(*),1.776.641,(**),"98,70%",(*),1.776.641,(**),"98,70%",,,,1776641.0,,0.987,,1776641.0,,0.987
11,11,11,Công ty Triển lâm Việt Nam,,138.810.945,1.395.330,9.259.321,"83,32%",138.810.945,1.395.330,32.770.488,"83,32%",,,138810945.0,1395330.0,9259321.0,0.8331999999999999,138810945.0,1395330.0,32770488.0,0.8331999999999999
12,12,12,Công ty VinFast Auto,(3),1.243.154.485,450.293,(**),"51,52%",12.425.941,286.309,(**),"51,52%",,-3.0,1243154485.0,450293.0,,0.5152,12425941.0,286309.0,,0.5152
13,13,13,Công ty Cổ phần One Mount Group,(5),-,-,-,-,277.195.596,2.775.324,(**),"51,22%",,-5.0,,,,,277195596.0,2775324.0,,0.5122
14,14,14,Công ty Cổ phần Vinpearl Invest,(4),-,-,-,-,69.343.390,1.901.422,(**),"69,69%",,-4.0,,,,,69343390.0,1901422.0,,0.6969
15,15,15,Các công ty con khác,"(3), (6)",,7.112.020,,,,7.304.002,,,,,,7112020.0,,,,7304002.0,,
,,,TỔNG CỘNG,,,163.454.799,,,,125.904.583,,,,,,163454799.0,,,,125904583.0,,
,,,Dự phòng đầu tư vào các công ty con,,,(28.531.365),,,,(22.940.043),,,,,,-28531365.0,,,,-22940043.0,,
