row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Trích trước chi phí xây dựng bắt động sản và chi phí phát triển bắt động sản đã được bàn giao,Ngắn hạn > Trích trước chi phí xây dựng bắt động sản và chi phí phát triển bắt động sản đã được bàn giao,Trích trước chi phí xây dựng bắt động sản và chi phí phát triển bắt động sản đã được bàn giao,505.335,1.085.204,505335.0,1085204.0
Chi phí lãi vay trích trước,Ngắn hạn > Chi phí lãi vay trích trước,Chi phí lãi vay trích trước,633.984,265.257,633984.0,265257.0
Chi phí bán hàng trích trước,Ngắn hạn > Chi phí bán hàng trích trước,Chi phí bán hàng trích trước,284.593,296.927,284593.0,296927.0
Khác,Ngắn hạn > Khác,Khác,21.871,649.289,21871.0,649289.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.445.783,2.296.677,1445783.0,2296677.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả khác,Trong đó: > Chi phí phải trả khác,Chi phí phải trả khác,1.217.821,2.286.861,1217821.0,2286861.0
Chi phí phải trả các bên liên quan(Thuyết minh số 31.2),Trong đó: > Chi phí phải trả các bên liên quan(Thuyết minh số 31.2),Chi phí phải trả các bên liên quan(Thuyết minh số 31.2),227.962,9.816,227962.0,9816.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay trích trước phải trả các bên liên quan(Thuyết minh số 31.2),Dài hạn > Chi phí lãi vay trích trước phải trả các bên liên quan(Thuyết minh số 31.2),Chi phí lãi vay trích trước phải trả các bên liên quan(Thuyết minh số 31.2),437.008,268.797,437008.0,268797.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,437.008,268.797,437008.0,268797.0
