row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh/liên danh và chuyển nhượng các dự án bất động sản","Ngắn hạn > Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh/liên danh và chuyển nhượng các dự án bất động sản","Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh/liên danh và chuyển nhượng các dự án bất động sản",16.365.952,9.334.730,16365952.0,9334730.0
Đặt cọc để chuyển nhượng các khoản đầu tư,Ngắn hạn > Đặt cọc để chuyển nhượng các khoản đầu tư,Đặt cọc để chuyển nhượng các khoản đầu tư,3.563.896,1.451.616,3563896.0,1451616.0
Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản,Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản,Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bất động sản,675.705,905.363,675705.0,905363.0
Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,Ngắn hạn > Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tác đầu tư/kinh doanh,-,129.592,,129592.0
Khác,Ngắn hạn > Khác,Khác,16.317,40.567,16317.0,40567.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,20.621.870,11.861.868,20621870.0,11861868.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,9.644.369,2.220.930,9644369.0,2220930.0
Phải trả các bên liên quan(Thuyết minh số 31.2),Trong đó: > Phải trả các bên liên quan(Thuyết minh số 31.2),Phải trả các bên liên quan(Thuyết minh số 31.2),10.977.501,9.640.938,10977501.0,9640938.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bất động sản","Dài hạn > Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bất động sản","Tiền đặt cọc, góp vốn từ đối tác cho mục đích hợp tác đầu tư/kinh doanh và chuyển nhượng các dự án bất động sản",47.993.000,21.699.909,47993000.0,21699909.0
Đặt cọc để chuyển nhượng các khoản đầu tư,Dài hạn > Đặt cọc để chuyển nhượng các khoản đầu tư,Đặt cọc để chuyển nhượng các khoản đầu tư,13.902.553,17.349.471,13902553.0,17349471.0
Khác,Dài hạn > Khác,Khác,533.147,400.000,533147.0,400000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,62.428.700,39.449.380,62428700.0,39449380.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,940.646,722.520,940646.0,722520.0
Phải trả các bên liên quan (Thuyết minh số 31.2),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 31.2),Phải trả các bên liên quan (Thuyết minh số 31.2),61.488.054,38.726.860,61488054.0,38726860.0
