row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,10.320.495,13.610.513,,,10320495.0,13610513.0
Công ty Thành Phố Xanh,Công ty Thành Phố Xanh,Công ty Thành Phố Xanh,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,8.568.649,8.568.649,,,8568649.0,8568649.0
Công ty ĐTĐH Berjaya,Công ty ĐTĐH Berjaya,Công ty ĐTĐH Berjaya,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,-,4.420.000,,,,4420000.0
Công ty ĐTĐH Berjaya,Công ty ĐTĐH Berjaya,Công ty ĐTĐH Berjaya,Công ty con,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,2.863.125,2.863.125,,,2863125.0,2863125.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,-,3.696.792,,,,3696792.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,3.622.350,3.079.147,,,3622350.0,3079147.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Nhận góp vốn cho mục đích hợp tác đầu tư,35.002.000,1.001.991,,,35002000.0,1001991.0
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,199.700,-,,,199700.0,
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,-,133.330,,,,133330.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,800.000,800.000,,,800000.0,800000.0
Công ty Cổ phần One Mount Group,Công ty Cổ phần One Mount Group,Công ty Cổ phần One Mount Group,Công ty con đến ngày 30 tháng 3 năm 2022 và công ty liên kết đến ngày 30 tháng 6 năm 2022,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,-,356.600,,,,356600.0
Một cá nhân,Một cá nhân,Một cá nhân,Thành viên HĐQT một công ty con đến ngày 11 tháng 11 năm 2022,Đặt cọc cho mục đích bảo lãnh,-,112.883,,,,112883.0
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,Đặt cọc cho mục đích bảo lãnh,111.735,83.830,,,111735.0,83830.0
,,,,,61.488.054,38.726.860,,,61488054.0,38726860.0
