row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số đầu năm > Tăng,Số phát sinh trong năm > Giảm,Số phát sinh trong năm > Giá trị đồng thời là số có khả năng trả nợ,Số cuối năm,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số phát sinh trong năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
Trái phiếu dài hạn đến hạn trả,Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,996.625,3.375,(1.000.000),,-,996625.0,3375.0,-1000000.0,,
Vay ngắn hàng ngắn hạn(Thuyết minh số 22.1),Vay ngắn hạn > Vay ngắn hàng ngắn hạn(Thuyết minh số 22.1),Vay ngắn hàng ngắn hạn(Thuyết minh số 22.1),1.004.384,6.042.243,(5.209.774),,1.836.853,1004384.0,6042243.0,-5209774.0,,1836853.0
Vay dài hạn đến hạn trả của khoản vay hợp vốn(Thuyết minh số 22.2.2),Vay ngắn hạn > Vay dài hạn đến hạn trả của khoản vay hợp vốn(Thuyết minh số 22.2.2),Vay dài hạn đến hạn trả của khoản vay hợp vốn(Thuyết minh số 22.2.2),935.676,3.105.282,(935.676),,3.105.282,935676.0,3105282.0,-935676.0,,3105282.0
Vay các bên liên quan ngắn hạn(Thuyết minh số 31.4),Vay ngắn hạn > Vay các bên liên quan ngắn hạn(Thuyết minh số 31.4),Vay các bên liên quan ngắn hạn(Thuyết minh số 31.4),-,13.708.735,(13.030.635),,678.100,,13708735.0,-13030635.0,,678100.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,2.936.685,22.859.635,(20.176.085),,5.620.235,2936685.0,22859635.0,-20176085.0,,5620235.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Trái phiếu phát hành(Thuyết minh số 22.2.1),Vay dài hạn > Trái phiếu phát hành(Thuyết minh số 22.2.1),Trái phiếu phát hành(Thuyết minh số 22.2.1),18.799.395,15.433.297,(303.992),,33.928.700,18799395.0,15433297.0,-303992.0,,33928700.0
Khoản vay hợp vốn(Thuyết minh số 22.2.2),Vay dài hạn > Khoản vay hợp vốn(Thuyết minh số 22.2.2),Khoản vay hợp vốn(Thuyết minh số 22.2.2),19.448.001,3.171.727,(3.278.113),,19.341.615,19448001.0,3171727.0,-3278113.0,,19341615.0
Vay các bên liên quan dài hạn(Thuyết minh số 31.4),Vay dài hạn > Vay các bên liên quan dài hạn(Thuyết minh số 31.4),Vay các bên liên quan dài hạn(Thuyết minh số 31.4),12.852.002,4.908.616,(9.811.901),,7.948.717,12852002.0,4908616.0,-9811901.0,,7948717.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,51.099.398,23.513.640,(13.394.006),,61.219.032,51099398.0,23513640.0,-13394006.0,,61219032.0
