row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm,numeric__Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,numeric__Đơn vị tính: triệu VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm
Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,2.108.390,1.467.021,2108390.0,1467021.0
Phải trả các bên liên quan(Thuyết minh số 31.2),Phải trả các bên liên quan(Thuyết minh số 31.2),Phải trả các bên liên quan(Thuyết minh số 31.2),313.354,591.544,313354.0,591544.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.421.744,2.058.565,2421744.0,2058565.0
