row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,31.12.2023VND,01.01.2023VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__31.12.2023VND,numeric__01.01.2023VND
PHẢI TRẢ NGƯỜI BÁN NGÁN HẠN,PHẢI TRẢ NGƯỜI BÁN NGÁN HẠN,PHẢI TRẢ NGƯỜI BÁN NGÁN HẠN,PHẢI TRẢ NGƯỜI BÁN NGÁN HẠN,PHẢI TRẢ NGƯỜI BÁN NGÁN HẠN,523.786.807.771,522.959.804.523,,,523786807771.0,522959804523.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,Thi công xây lắp,371.474.187.166,381.630.066.380,,,371474187166.0,381630066380.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,Mua vật tư,31.273.362.115,37.782.586.521,,,31273362115.0,37782586521.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,Cung cấp công nghệ thông tin,684.395.250,3.919.434.750,,,684395250.0,3919434750.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,Mua đồng phục,-,3.765.389.805,,,,3765389805.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,Chi phí đào tạo thạc sĩ,-,580.000.000,,,,580000000.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,"Mua công cụ dụng cụ, tài sản",-,558.936.253,,,,558936253.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,"Vé máy bay, khác",24.284.294.069,30.348.070.704,,,24284294069.0,30348070704.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,,427.716.238.600,458.584.484.413,,,427716238600.0,458584484413.0
Công ty Cổ phần An ninh Đèo Cả,Công ty Cổ phần An ninh Đèo Cả,Công ty Cổ phần An ninh Đèo Cả,"Công ty có liên quan của Trường Ban kiểm soát Nguyễn Minh Giang, Công ty con của Công ty mẹ",Cung cấp dịch vụ,13.137.122.556,17.375.835.146,,,13137122556.0,17375835146.0
Công ty Cổ phần An ninh Đèo Cả,Công ty Cổ phần An ninh Đèo Cả,Công ty Cổ phần An ninh Đèo Cả,"Công ty có liên quan của Trường Ban kiểm soát Nguyễn Minh Giang, Công ty con của Công ty mẹ",,13.137.122.556,17.375.835.146,,,13137122556.0,17375835146.0
