row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2023VND,2022VND,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG TÀI CHÍNH,,,,,,,
31,Mãsố > 31,31,"Thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,61.000.000,403.873.700.000,,,61000000.0,403873700000.0
33,Mãsố > 33,33,"Thu từ vay ngắn hạn, dài hạn",,503.403.158.775,499.241.081.047,,,503403158775.0,499241081047.0
34,Mãsố > 34,34,Chi trả nợ gốc vay,,(886.294.034.961),(954.200.304.573),,,-886294034961.0,-954200304573.0
35,Mãsố > 35,35,Chi trả nợ gốc thuê tài chính,,(4.970.543.556),-,,,-4970543556.0,
40,Mãsố > 40,40,Lưu chuyển thuần từ hoạt động tài chính,,(387.800.419.742),(51.085.523.526),,,-387800419742.0,-51085523526.0
50,Mãsố > 50,50,Lưu chuyển tiền thuần trong năm,,(86.133.521.761),119.877.627.709,,,-86133521761.0,119877627709.0
60,Mãsố > 60,60,Tiền và các khoản tương đương tiền đầu năm,V.1,382.261.109.037,262.383.481.328,,,382261109037.0,262383481328.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,-,-,,,,
70,61 > 70,70,Tiền và các khoản tương đương tiền cuối năm,V.1,296.127.587.276,382.261.109.037,,,296127587276.0,382261109037.0
