row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Nguồn kinh phí và quỹ khác (*) VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Nguồn kinh phí và quỹ khác (*) VND,numeric__Tổng cộng VND
Tại ngày 01.01.2022,Tại ngày 01.01.2022,Tại ngày 01.01.2022,2.673.840.900.000,(208.000.000),4.851.321.687,556.552.113.920,1.168.292.642.095,3.272.808.312.802,7.676.137.290.504,2673840900000.0,-208000000.0,4851321687.0,556552113920.0,1168292642095.0,3272808312802.0,7676137290504.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,404.203.600.000,(329.900.000),-,-,-,-,403.873.700.000,404203600000.0,-329900000.0,,,,,403873700000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,264.050.336.161,33.358.952.709,-,297.409.288.870,,,,264050336161.0,33358952709.0,,297409288870.0
Trả thủ lao cho HĐQT&BKS,Trả thủ lao cho HĐQT&BKS,Trả thủ lao cho HĐQT&BKS,-,-,-,(1.907.000.000),-,-,(1.907.000.000),,,,-1907000000.0,,,-1907000000.0
Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,-,-,2.297.161.693,(2.297.161.693),-,-,-,,,2297161693.0,-2297161693.0,,,
Tăng khác,Tăng khác,Tăng khác,-,-,-,4.122.978.771,(4.122.978.771),-,-,,,,4122978771.0,-4122978771.0,,
Tại ngày 31.12.2022,Tại ngày 31.12.2022,Tại ngày 31.12.2022,3.078.044.500.000,(537.900.000),7.148.483.380,820.521.267.159,1.197.528.616.033,3.272.808.312.802,8.375.513.279.374,3078044500000.0,-537900000.0,7148483380.0,820521267159.0,1197528616033.0,3272808312802.0,8375513279374.0
Tại ngày 01.01.2023,Tại ngày 01.01.2023,Tại ngày 01.01.2023,3.078.044.500.000,(537.900.000),7.148.483.380,820.521.267.159,1.197.528.616.033,3.272.808.312.802,8.375.513.279.374,3078044500000.0,-537900000.0,7148483380.0,820521267159.0,1197528616033.0,3272808312802.0,8375513279374.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,,(339.000.000),,,,,(339.000.000),,-339000000.0,,,,,-339000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,322.122.856.962,42.334.360.899,-,364.457.217.861,,,,322122856962.0,42334360899.0,,364457217861.0
Trả thủ lao cho HĐQT&BKS (1),Trả thủ lao cho HĐQT&BKS (1),Trả thủ lao cho HĐQT&BKS (1),-,-,-,(1.908.000.000),-,-,(1.908.000.000),,,,-1908000000.0,,,-1908000000.0
Trích quỹ Đầu tư phát triển (2),Trích quỹ Đầu tư phát triển (2),Trích quỹ Đầu tư phát triển (2),-,-,1.673.972.699,(1.673.972.699),-,-,-,,,1673972699.0,-1673972699.0,,,
Trích quỹ khen thưởng phúc lợi (3),Trích quỹ khen thưởng phúc lợi (3),Trích quỹ khen thưởng phúc lợi (3),-,-,-,(5.021.918.096),-,-,(5.021.918.096),,,,-5021918096.0,,,-5021918096.0
Chia cổ tức bằng cổ phiếu (4),Chia cổ tức bằng cổ phiếu (4),Chia cổ tức bằng cổ phiếu (4),215.459.010.000,-,-,(215.459.010.000),-,-,-,215459010000.0,,,-215459010000.0,,,
Thay đổi lợi ích cổ đông không kiểm soát,Thay đổi lợi ích cổ đông không kiểm soát,Thay đổi lợi ích cổ đông không kiểm soát,-,-,-,3.317.278.463,(3.117.528.138),-,199.750.325,,,,3317278463.0,-3117528138.0,,199750325.0
Tại ngày 31.12.2023,Tại ngày 31.12.2023,Tại ngày 31.12.2023,3.293.503.510.000,(876.900.000),8.822.456.079,921.898.501.789,1.236.745.448.794,3.272.808.312.802,8.732.901.329.464,3293503510000.0,-876900000.0,8822456079.0,921898501789.0,1236745448794.0,3272808312802.0,8732901329464.0
