row_label_raw,row_label_full,col_0,31.12.2023 > Giá trị VND,31.12.2023 > Dự phòng VND,01.01.2023 > Giá trị VND,01.01.2023 > Dự phòng VND,numeric__31.12.2023 > Giá trị VND,numeric__31.12.2023 > Dự phòng VND,numeric__01.01.2023 > Giá trị VND,numeric__01.01.2023 > Dự phòng VND
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",2.157.503.000,-,2.166.503.000,-,2157503000.0,,2166503000.0,
Phải thu tạm ứng cổ tức (**),Phải thu tạm ứng cổ tức (**),Phải thu tạm ứng cổ tức (**),85.096.325.353,-,85.116.084.898,-,85096325353.0,,85116084898.0,
Bên liên quan,Bên liên quan,Bên liên quan,84.857.267.898,-,50.924.984.504,-,84857267898.0,,50924984504.0,
Công ty Cổ phần BOT Hưng Phát,Công ty Cổ phần BOT Hưng Phát,Công ty Cổ phần BOT Hưng Phát,50.924.984.504,-,50.924.984.504,-,50924984504.0,,50924984504.0,
Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,33.932.283.394,-,-,-,33932283394.0,,,
Bên thử ba,Bên thử ba,Bên thử ba,239.057.455,-,34.191.100.394,-,239057455.0,,34191100394.0,
Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,Công ty Cổ phần Đầu tư Thương mại Quốc tế Hà Thành,-,-,33.952.042.939,-,,,33952042939.0,
Công ty Cổ phần Đầu tư và Xây Dương Việt Thành,Công ty Cổ phần Đầu tư và Xây Dương Việt Thành,Công ty Cổ phần Đầu tư và Xây Dương Việt Thành,239.057.455,-,239.057.455,-,239057455.0,,239057455.0,
Hợp tác kinh doanh,Hợp tác kinh doanh,Hợp tác kinh doanh,61.750.100.044,-,221.530.970.000,-,61750100044.0,,221530970000.0,
Bên liên quan,Bên liên quan,Bên liên quan,61.750.100.044,-,221.530.970.000,-,61750100044.0,,221530970000.0,
Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,-,-,221.530.970.000,-,,,221530970000.0,
Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo (*),Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo (*),Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo (*),61.750.100.044,-,-,-,61750100044.0,,,
Các khoản khác,Các khoản khác,Các khoản khác,49.823.987.400,-,48.675.671.659,-,49823987400.0,,48675671659.0,
Bên thử ba,Bên thử ba,Bên thử ba,49.823.987.400,-,48.675.671.659,-,49823987400.0,,48675671659.0,
"Phải thu tiền sửa chữa, bảo hành các dự án","Phải thu tiền sửa chữa, bảo hành các dự án","Phải thu tiền sửa chữa, bảo hành các dự án",25.096.534.444,-,25.096.534.444,-,25096534444.0,,25096534444.0,
Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang,Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang,Trung tâm phát triển quỹ đất và Cụm công nghiệp huyện Lạng Giang,12.301.719.456,-,12.301.719.456,-,12301719456.0,,12301719456.0,
Trung tâm phát triển quỹ đất huyện Hữu Lũng,Trung tâm phát triển quỹ đất huyện Hữu Lũng,Trung tâm phát triển quỹ đất huyện Hữu Lũng,5.033.084.500,-,5.033.084.500,-,5033084500.0,,5033084500.0,
Trung tâm phát triển quỹ đất huyện Chi Lăng,Trung tâm phát triển quỹ đất huyện Chi Lăng,Trung tâm phát triển quỹ đất huyện Chi Lăng,4.860.513.038,-,4.860.513.038,-,4860513038.0,,4860513038.0,
Khác,Khác,Khác,2.532.135.962,-,1.383.820.221,-,2532135962.0,,1383820221.0,
Cộng,Cộng,Cộng,198.827.915.797,-,357.489.229.557,-,198827915797.0,,357489229557.0,
