row_label_raw,row_label_full,col_0,31.12.2023VND,01.01.2023VND,numeric__31.12.2023VND,numeric__01.01.2023VND
Bên liên quan,Bên liên quan,Bên liên quan,290.048.869.143,159.081.107.411,290048869143.0,159081107411.0
Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,130.984.526.628,-,130984526628.0,
Công ty Cổ phần Cao tốc Cam Lâm -Vĩnh Hảo,Công ty Cổ phần Cao tốc Cam Lâm -Vĩnh Hảo,Công ty Cổ phần Cao tốc Cam Lâm -Vĩnh Hảo,70.600.560.453,-,70600560453.0,
Công ty Cổ phần Xây dựng Đèo Cả,Công ty Cổ phần Xây dựng Đèo Cả,Công ty Cổ phần Xây dựng Đèo Cả,51.687.063.348,116.695.539.018,51687063348.0,116695539018.0
Công ty Cổ phần BOT Trung Lương - Mỹ Thuận,Công ty Cổ phần BOT Trung Lương - Mỹ Thuận,Công ty Cổ phần BOT Trung Lương - Mỹ Thuận,14.585.800.932,22.098.459.698,14585800932.0,22098459698.0
Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,13.918.316.295,13.361.179.695,13918316295.0,13361179695.0
CTCP Tập đoàn Đầu tư xây dựng Cầu đường Sài Gòn - Phú Yên,CTCP Tập đoàn Đầu tư xây dựng Cầu đường Sài Gòn - Phú Yên,CTCP Tập đoàn Đầu tư xây dựng Cầu đường Sài Gòn - Phú Yên,6.800.000.000,6.800.000.000,6800000000.0,6800000000.0
Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đèo Cả,Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đèo Cả,Công ty Cổ phần Quản lý và Khai thác Đường Cao tốc Đèo Cả,1.470.201.487,125.929.000,1470201487.0,125929000.0
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,2.400.000,-,2400000.0,
Bên thứ ba,Bên thứ ba,Bên thứ ba,109.903.090.198,45.847.550.058,109903090198.0,45847550058.0
Ban Quản lý dự án 2,Ban Quản lý dự án 2,Ban Quản lý dự án 2,61.415.375.434,-,61415375434.0,
Công ty Cổ phần Xây dựng Cầu đường 19,Công ty Cổ phần Xây dựng Cầu đường 19,Công ty Cổ phần Xây dựng Cầu đường 19,5.159.490.529,5.159.490.529,5159490529.0,5159490529.0
Công ty Cổ phần Sông Đà 10,Công ty Cổ phần Sông Đà 10,Công ty Cổ phần Sông Đà 10,5.082.418.376,5.082.418.376,5082418376.0,5082418376.0
Cục Quản lý đường bộ III,Cục Quản lý đường bộ III,Cục Quản lý đường bộ III,4.144.842.000,7.058.251.000,4144842000.0,7058251000.0
Công ty Quản lý và Sửa chữa Đường bộ Đắk Lắk,Công ty Quản lý và Sửa chữa Đường bộ Đắk Lắk,Công ty Quản lý và Sửa chữa Đường bộ Đắk Lắk,3.399.652.533,3.399.652.533,3399652533.0,3399652533.0
Ban Quản lý dự án giao thông tỉnh Lâm Đồng,Ban Quản lý dự án giao thông tỉnh Lâm Đồng,Ban Quản lý dự án giao thông tỉnh Lâm Đồng,2.384.463.000,-,2384463000.0,
Đối tượng khác,Đối tượng khác,Đối tượng khác,28.316.848.326,25.147.737.620,28316848326.0,25147737620.0
Cộng,Cộng,Cộng,399.951.959.341,204.928.657.469,399951959341.0,204928657469.0
