row_label_raw,row_label_full,Mã số,Chỉ tiêu,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,VI.1,2.685.542.239.251,2.094.582.751.424,,,2685542239251.0,2094582751424.0
02,02,02,Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,VI.1,2.685.542.239.251,2.094.582.751.424,,,2685542239251.0,2094582751424.0
11,02 > 11,11,Giá vốn hàng bán và cung cấp dịch vụ,VI.2,1.605.123.307.081,1.078.028.599.115,,,1605123307081.0,1078028599115.0
20,02 > 20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.080.418.932.170,1.016.554.152.309,,,1080418932170.0,1016554152309.0
21,02 > 21,21,Doanh thu hoạt động tài chính,VI.3,25.719.678.287,5.444.505.906,,,25719678287.0,5444505906.0
22,02 > 22,22,Chi phí tài chính,VI.4,667.279.809.348,647.600.236.079,,,667279809348.0,647600236079.0
23,02 > 23,23,- Trong đó: Chi phí lãi vay,,662.435.560.342,647.600.236.079,,,662435560342.0,647600236079.0
24,02 > 24,24,"Phần lãi trong công ty liên doanh, liên kết",,49.109.315.093,52.722.444.486,,,49109315093.0,52722444486.0
26,02 > 26,26,Chi phí quản lý doanh nghiệp,VI.5,60.780.235.502,72.874.475.153,,,60780235502.0,72874475153.0
30,02 > 30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,427.187.880.700,354.246.391.469,,,427187880700.0,354246391469.0
31,02 > 31,31,Thu nhập khác,VI.6,2.086.063.635,12.438.456,,,2086063635.0,12438456.0
32,02 > 32,32,Chi phí khác,VI.7,4.553.327.184,327.869.704,,,4553327184.0,327869704.0
40,02 > 40,40,Lỗ khác,,(2.467.263.549),(315.431.248),,,-2467263549.0,-315431248.0
50,02 > 50,50,Tổng lợi nhuận kê toán trước thuế,,424.720.617.151,353.930.960.221,,,424720617151.0,353930960221.0
