row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,31.12.2023 VND,01.01.2023 VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__31.12.2023 VND,numeric__01.01.2023 VND
NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,NGƯỜI MUA TRẢ TIỀN TRƯỚC NGẮN HẠN,-,73.032.991.055,,,,73032991055.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,Ứng trước thi công xây lắp,-,73.032.991.055,,,,73032991055.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,Ứng trước thi công xây lắp,-,73.032.991.055,,,,73032991055.0
PHẢI TRẢ NGẮN HẠN KHÁC,PHẢI TRẢ NGẮN HẠN KHÁC,PHẢI TRẢ NGẮN HẠN KHÁC,PHẢI TRẢ NGẮN HẠN KHÁC,PHẢI TRẢ NGẮN HẠN KHÁC,65.626.091.401,113.538.196.112,,,65626091401.0,113538196112.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,Tiền lãi vay,-,26.298.646.606,,,,26298646606.0
Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty Cổ phần Tập Đoàn Đèo Cả,Công ty mẹ,Tiền lãi vay,-,26.298.646.606,,,,26298646606.0
Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,"Cổ đông lớn, Công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Hữu Hùng, Thành viên HĐQT Võ Thụy Linh",Tiền lãi vay,-,21.613.458.105,,,,21613458105.0
Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,"Cổ đông lớn, Công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Hữu Hùng, Thành viên HĐQT Võ Thụy Linh",Tiền lãi vay,-,21.613.458.105,,,,21613458105.0
Công ty Cổ phần Xây Dụng Đèo Cả,Công ty Cổ phần Xây Dụng Đèo Cả,Công ty Cổ phần Xây Dụng Đèo Cả,Công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Hữu Hùng,Bảo hành chờ quyết toán,65.626.091.401,65.626.091.401,,,65626091401.0,65626091401.0
Công ty Cổ phần Xây Dụng Đèo Cả,Công ty Cổ phần Xây Dụng Đèo Cả,Công ty Cổ phần Xây Dụng Đèo Cả,Công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Hữu Hùng,Bảo hành chờ quyết toán,65.626.091.401,65.626.091.401,,,65626091401.0,65626091401.0
