row_label_raw,row_label_full,col_0,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,2023VND,2022VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,2.685.542.239.251,2.094.582.751.424,2685542239251.0,2094582751424.0
Doanh thu các trạm thu phí BOT,Doanh thu các trạm thu phí BOT,Doanh thu các trạm thu phí BOT,1.572.642.616.928,1.484.106.158.515,1572642616928.0,1484106158515.0
Doanh thu xây lắp,Doanh thu xây lắp,Doanh thu xây lắp,1.047.328.437.548,530.288.093.030,1047328437548.0,530288093030.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",29.063.439.057,41.129.862.721,29063439057.0,41129862721.0
Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,20.915.838.636,17.921.779.967,20915838636.0,17921779967.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,15.591.907.082,21.136.857.191,15591907082.0,21136857191.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,2.685.542.239.251,2.094.582.751.424,2685542239251.0,2094582751424.0
Trong đó doanh thu đối với các bên liên quan,Các khoản giảm trừ doanh thu > Trong đó doanh thu đối với các bên liên quan,Trong đó doanh thu đối với các bên liên quan,848.198.579.841,224.506.208.652,848198579841.0,224506208652.0
Doanh thu xây lắp,Các khoản giảm trừ doanh thu > Doanh thu xây lắp,Doanh thu xây lắp,829.711.961.943,179.609.025.970,829711961943.0,179609025970.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Các khoản giảm trừ doanh thu > Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",11.606.171.330,29.755.784.943,11606171330.0,29755784943.0
Doanh thu khác,Các khoản giảm trừ doanh thu > Doanh thu khác,Doanh thu khác,6.880.446.568,15.141.397.739,6880446568.0,15141397739.0
