row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
NGUYỄN GIÁ,NGUYỄN GIÁ,NGUYỄN GIÁ,NGUYỄN GIÁ,NGUYỄN GIÁ,NGUYỄN GIÁ,NGUYỄN GIÁ,NGUYỄN GIÁ,,,,,
Tại ngày 01 tháng 01 năm 2023,NGUYỄN GIÁ > Tại ngày 01 tháng 01 năm 2023,Tại ngày 01 tháng 01 năm 2023,30.069.540.639.456,58.842.640.945,82.768.323.016,42.387.811.039,30.253.539.414.456,30069540639456.0,58842640945.0,82768323016.0,42387811039.0,30253539414456.0
Số tăng trong năm,NGUYỄN GIÁ > Số tăng trong năm,Số tăng trong năm,40.338.174.284,23.420.165.963,18.165.873.651,156.236.363,82.080.450.261,40338174284.0,23420165963.0,18165873651.0,156236363.0,82080450261.0
Mua trong năm,NGUYỄN GIÁ > Mua trong năm,Mua trong năm,-,23.420.165.963,18.165.873.651,156.236.363,41.742.275.977,,23420165963.0,18165873651.0,156236363.0,41742275977.0
Đầu tư XDCB hoàn thành,NGUYỄN GIÁ > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,35.356.816.103,-,-,-,35.356.816.103,35356816103.0,,,,35356816103.0
Tăng khác,NGUYỄN GIÁ > Tăng khác,Tăng khác,4.981.358.181,-,-,-,4.981.358.181,4981358181.0,,,,4981358181.0
Số giảm trong năm,NGUYỄN GIÁ > Số giảm trong năm,Số giảm trong năm,6.394.354.464,6.104.518.518,13.635.200.196,40.063.636,26.174.136.814,6394354464.0,6104518518.0,13635200196.0,40063636.0,26174136814.0
"Thanh lý, nhượng bán","NGUYỄN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",960.000.000,6.104.518.518,13.635.200.196,40.063.636,20.739.782.350,960000000.0,6104518518.0,13635200196.0,40063636.0,20739782350.0
Giảm khác,NGUYỄN GIÁ > Giảm khác,Giảm khác,5.434.354.464,-,-,-,5.434.354.464,5434354464.0,,,,5434354464.0
Tại ngày 31 tháng 12 năm 2023,NGUYỄN GIÁ > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,30.103.484.459.276,76.158.288.390,87.298.996.471,42.503.983.766,30.309.445.727.903,30103484459276.0,76158288390.0,87298996471.0,42503983766.0,30309445727903.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Tại ngày 01 tháng 01 năm 2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01 tháng 01 năm 2023,Tại ngày 01 tháng 01 năm 2023,1.608.982.327.589,16.314.639.416,51.464.909.905,19.569.981.183,1.696.331.858.093,1608982327589.0,16314639416.0,51464909905.0,19569981183.0,1696331858093.0
Số tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số tăng trong năm,Số tăng trong năm,288.116.686.021,8.379.542.595,5.516.516.684,4.225.647.294,306.238.392.594,288116686021.0,8379542595.0,5516516684.0,4225647294.0,306238392594.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,288.116.686.021,8.379.542.595,5.516.516.684,4.225.647.294,306.238.392.594,288116686021.0,8379542595.0,5516516684.0,4225647294.0,306238392594.0
Số giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số giảm trong năm,Số giảm trong năm,80.000.000,256.795.782,1.498.809.930,4.451.516,1.840.057.228,80000000.0,256795782.0,1498809930.0,4451516.0,1840057228.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",80.000.000,256.795.782,1.498.809.930,4.451.516,1.840.057.228,80000000.0,256795782.0,1498809930.0,4451516.0,1840057228.0
Tại ngày 31 tháng 12 năm 2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,1.897.019.013.610,24.437.386.229,55.482.616.660,23.791.176.960,2.000.730.193.459,1897019013610.0,24437386229.0,55482616660.0,23791176960.0,2000730193459.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày 01 tháng 01 năm 2023,GIÁ TRỊ CÒN LẠI > Tại ngày 01 tháng 01 năm 2023,Tại ngày 01 tháng 01 năm 2023,28.460.558.311.867,42.528.001.529,31.303.413.111,22.817.829.856,28.557.207.556.363,28460558311867.0,42528001529.0,31303413111.0,22817829856.0,28557207556363.0
Tại ngày 31 tháng 12 năm 2023,GIÁ TRỊ CÒN LẠI > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,28.206.465.445.666,51.720.902.161,31.816.379.811,18.712.806.806,28.308.715.534.444,28206465445666.0,51720902161.0,31816379811.0,18712806806.0,28308715534444.0
