row_label_raw,row_label_full,col_0,Thu phí trạm BOT VND,Hoạt động xây lắp VND,Dịch vụ trung chuyển VND,"Duy tu bảo dưỡng cầu, đường VND",Hoạt động khác VND,Tổng cộng VND,numeric__Thu phí trạm BOT VND,numeric__Hoạt động xây lắp VND,numeric__Dịch vụ trung chuyển VND,"numeric__Duy tu bảo dưỡng cầu, đường VND",numeric__Hoạt động khác VND,numeric__Tổng cộng VND
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,1.484.106.158.515,530.288.093.030,17.921.779.967,41.129.862.721,21.136.857.191,2.094.582.751.424,1484106158515.0,530288093030.0,17921779967.0,41129862721.0,21136857191.0,2094582751424.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,1.484.106.158.515,530.288.093.030,17.921.779.967,41.129.862.721,21.136.857.191,2.094.582.751.424,1484106158515.0,530288093030.0,17921779967.0,41129862721.0,21136857191.0,2094582751424.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,936.031.312.105,48.135.168.720,3.075.080.724,23.182.514.449,6.130.076.311,1.016.554.152.309(72.874.475.153),936031312105.0,48135168720.0,3075080724.0,23182514449.0,6130076311.0,
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,943.679.677.156,,,,,,943679677156.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,5.444.505.906(647.600.236.079),,,,,,
Doanh thu hoạt động tài chính,Lợi nhuận từ hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,52.722.444.486,,,,,,52722444486.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,12.438.456(327.869.704),,,,,,
"Phần lãi hoặc lỗ trong công ty liên kết, liên doanh","Chi phí tài chính > Phần lãi hoặc lỗ trong công ty liên kết, liên doanh","Phần lãi hoặc lỗ trong công ty liên kết, liên doanh",,,,,,(58.772.545.135),,,,,,-58772545135.0
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,,,,,,2.250.873.784,,,,,,2250873784.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,,,,,,297.409.288.870,,,,,,297409288870.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí tài chính > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(196.901.788.609),,,,,,-196901788609.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí tài chính > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,(283.718.402.007),,,,,,-283718402007.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,,,,
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,,,,,,,
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,,,,,,,
