row_label_raw,row_label_full,Thuế giá trị gia tăng,01.01.2023VND > 5.743.376.123,Số phải nộp trong nămVND > 51.005.888.631,Số đã thực nộp trong nămVND > 37.649.546.534,31.12.2023VND > 19.099.718.220,numeric__01.01.2023VND > 5.743.376.123,numeric__Số phải nộp trong nămVND > 51.005.888.631,numeric__Số đã thực nộp trong nămVND > 37.649.546.534,numeric__31.12.2023VND > 19.099.718.220
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,59.861.816.978,62.524.153.479,61.361.424.724,61.024.545.733,59861816978.0,62524153479.0,61361424724.0,61024545733.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,309.273.768,1.712.812.696,1.805.227.017,216.859.447,309273768.0,1712812696.0,1805227017.0,216859447.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,2.376.205.563,2.376.205.563,-,,2376205563.0,2376205563.0,
Các khoản thuế khác,Các khoản thuế khác,Các khoản thuế khác,-,2.393.636.870,1.270.643.402,1.122.993.468,,2393636870.0,1270643402.0,1122993468.0
Cộng,Cộng,Cộng,65.914.466.869,120.012.697.239,104.463.047.240,81.464.116.868,65914466869.0,120012697239.0,104463047240.0,81464116868.0
b) Thuế và các khoản phải thu nhà nước,b) Thuế và các khoản phải thu nhà nước,b) Thuế và các khoản phải thu nhà nước,b) Thuế và các khoản phải thu nhà nước,b) Thuế và các khoản phải thu nhà nước,b) Thuế và các khoản phải thu nhà nước,b) Thuế và các khoản phải thu nhà nước,,,,
,,,01.01.2023VND,Số phải thu trong nămVND,Số đã thực thu trong nămVND,31.12.2023VND,,,,
Thuế giá trị gia tăng,b) Thuế và các khoản phải thu nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,118.911.073,-,-,118.911.073,118911073.0,,,118911073.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,-,-,,,,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,-,-,-,,,,
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,-,-,-,,,,
Các khoản thuế khác,Các khoản thuế khác,Các khoản thuế khác,-,-,-,-,,,,
Cộng,Các khoản thuế khác > Cộng,Cộng,118.911.073,-,-,118.911.073,118911073.0,,,118911073.0
