row_label_raw,row_label_full,Chỉ tiêu,Quý 4/2019,Năm 2019,numeric__Quý 4/2019,numeric__Năm 2019
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,1.933.046.000.405,9.992.737.963.848,1933046000405.0,9992737963848.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,(118.830.205.285),(192.609.972.666),-118830205285.0,-192609972666.0
