row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 VND,1/1/2019 VND(Phân loại lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND(Phân loại lại)
Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 230 + 240 + 250 + 260 \)),200,,3.822.536.009.401,4.108.898.738.066,200.0,,3822536009401.0,4108898738066.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,594.934.263.782,595.326.879.025,210.0,,594934263782.0,595326879025.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,211,6,594.765.197.248,595.149.412.491,211.0,6.0,594765197248.0,595149412491.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,8(b),169.066.534,177.466.534,216.0,,169066534.0,177466534.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,2.164.265.629.993,2.401.841.400.896,220.0,,2164265629993.0,2401841400896.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,14,2.005.114.583.138,2.237.652.768.041,221.0,14.0,2005114583138.0,2237652768041.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,4.328.300.784.031,4.316.013.494.132,222.0,,4328300784031.0,4316013494132.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(2.323.186.200.893),(2.078.360.726.091),223.0,,-2323186200893.0,-2078360726091.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,15,159.151.046.855,164.188.632.855,227.0,15.0,159151046855.0,164188632855.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,186.958.796.829,188.749.272.344,228.0,,186958796829.0,188749272344.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(27.807.749.974),(24.560.639.489),229.0,,-27807749974.0,-24560639489.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,16,22.311.175.290,23.122.235.708,230.0,16.0,22311175290.0,23122235708.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,31.302.629.053,31.302.629.053,231.0,,31302629053.0,31302629053.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(8.991.453.763),(8.180.393.345),232.0,,-8991453763.0,-8180393345.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,10.896.894.716,71.004.179.534,240.0,,10896894716.0,71004179534.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,242,18,10.896.894.716,71.004.179.534,242.0,18.0,10896894716.0,71004179534.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,5(b),840.490.863.698,855.560.531.985,250.0,,840490863698.0,855560531985.0
Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,251,,948.495.140.276,948.495.140.276,251.0,,948495140276.0,948495140276.0
"Đầu tư vào các công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Đầu tư vào các công ty liên kết, cơ sở kinh doanh đồng kiểm soát","Đầu tư vào các công ty liên kết, cơ sở kinh doanh đồng kiểm soát",252,,201.337.402.557,245.212.402.557,252.0,,201337402557.0,245212402557.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,253,,87.362.969.498,87.362.969.498,253.0,,87362969498.0,87362969498.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,,(396.704.648.633),(425.509.980.346),254.0,,-396704648633.0,-425509980346.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,189.637.181.922,162.043.510.918,260.0,,189637181922.0,162043510918.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,12(b),189.637.181.922,160.251.782.011,261.0,,189637181922.0,160251782011.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,,-,1.791.728.907,262.0,,,1791728907.0
TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),TỔNG TÀI SẢN (\( 270 = 100 + 200 \)),270,,5.471.643.310.608,6.910.880.448.531,270.0,,5471643310608.0,6910880448531.0
