row_label_raw,row_label_full,col_0,Công cụ dụng cụ VND,Chi phí san lắp mặt bằng VND,Chi phí đất trả trước VND,Đầu tư khu du lịch Long Trị VND,Lợi thế kinh doanh VND,Chi phí trả trước dài hạn khác VND,Tổng VND,numeric__Công cụ dụng cụ VND,numeric__Chi phí san lắp mặt bằng VND,numeric__Chi phí đất trả trước VND,numeric__Đầu tư khu du lịch Long Trị VND,numeric__Lợi thế kinh doanh VND,numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng VND
Số dư đầu năm (Phân loại lại),Số dư đầu năm (Phân loại lại),Số dư đầu năm (Phân loại lại),8.051.307.913,58.996.040.946,14.785.952.371,5.947.417.399,53.302.828.950,19.168.234.432,160.251.782.011,8051307913.0,58996040946.0,14785952371.0,5947417399.0,53302828950.0,19168234432.0,160251782011.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,2.708.099.111,-,-,-,-,3.829.796.059,6.537.895.170,2708099111.0,,,,,3829796059.0,6537895170.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,440.389.700,-,57.409.984.160,-,-,-,57.850.373.860,440389700.0,,57409984160.0,,,,57850373860.0
Phân loại lại,Phân loại lại,Phân loại lại,1.593.365.539,-,-,-,-,(1.593.365.539),-,1593365539.0,,,,,-1593365539.0,
Phân loại lại từ tài sản cố định vô hình,Phân loại lại từ tài sản cố định vô hình,Phân loại lại từ tài sản cố định vô hình,-,-,1.645.169.096,-,-,-,1.645.169.096,,,1645169096.0,,,,1645169096.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(5.510.418.932),(2.499.036.076),(1.651.265.513),(148.373.244),(19.927.312.825),(6.911.631.625),(36.648.038.215),-5510418932.0,-2499036076.0,-1651265513.0,-148373244.0,-19927312825.0,-6911631625.0,-36648038215.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,7.282.743.331,56.497.004.870,72.189.840.114,5.799.044.155,33.375.516.125,14.493.033.327,189.637.181.922,7282743331.0,56497004870.0,72189840114.0,5799044155.0,33375516125.0,14493033327.0,189637181922.0
13. Thuế,13. Thuế,13. Thuế,5.956.082.991.106.360.911.1.020.300.329,5.956.082.991.106.360.911.1.020.300.329,5.956.082.991.106.360.911.1.020.300.329,5.956.082.991.106.360.911.1.020.300.329,5.956.082.991.106.360.911.1.020.300.329,5.956.082.991.106.360.911.1.020.300.329,5.956.082.991.106.360.911.1.020.300.329,5.956082991106361e+28,5.956082991106361e+28,5.956082991106361e+28,5.956082991106361e+28,5.956082991106361e+28,5.956082991106361e+28,5.956082991106361e+28
(a) Thuế phải thu Nhà nước,(a) Thuế phải thu Nhà nước,(a) Thuế phải thu Nhà nước,(a) Thuế phải thu Nhà nước,(a) Thuế phải thu Nhà nước,(a) Thuế phải thu Nhà nước,(a) Thuế phải thu Nhà nước,(a) Thuế phải thu Nhà nước,(a) Thuế phải thu Nhà nước,(a) Thuế phải thu Nhà nước,,,,,,,
,,,,,,1/1/2019 VND,Số phải thu trong năm VND,Số được hoàn/ khấu trừ/xử lý trong năm VND,31/12/2019 VND,,,,,,,
Thuế giá trị gia tăng,(a) Thuế phải thu Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,,,,100.357.843,-,-,100.357.843,,,,100357843.0,,,100357843.0
Thuế thu nhập doanh nghiệp,(a) Thuế phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,3.761.761.820,-,(104.989.373),3.656.772.447,,,,3761761820.0,,-104989373.0,3656772447.0
Thuế thu nhập cá nhân,(a) Thuế phải thu Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,,,,140.281.990,(49.543.034),10.283.701,101.022.657,,,,140281990.0,-49543034.0,10283701.0,101022657.0
"Thuế nhà đất, tiền thuê đất","(a) Thuế phải thu Nhà nước > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",,,,875.064,88.191.302,(89.066.366),-,,,,875064.0,88191302.0,-89066366.0,
,,,,,,4.003.276.717,38.648.268,(183.772.038),3.858.152.947,,,,4003276717.0,38648268.0,-183772038.0,3858152947.0
