row_label_raw,row_label_full,col_0,Năm kết thúcngày 31/12/2019VND,Từ 9/10/2018đến 31/12/2018VND,numeric__Năm kết thúcngày 31/12/2019VND,numeric__Từ 9/10/2018đến 31/12/2018VND
Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,Công ty Cổ phần Lương thực Bình Định,,
Bán hàng,Công ty Cổ phần Lương thực Bình Định > Bán hàng,Bán hàng,1.502.917.800,463.653.000,1502917800.0,463653000.0
Dịch vụ cung cấp,Công ty Cổ phần Lương thực Bình Định > Dịch vụ cung cấp,Dịch vụ cung cấp,-,63.981.187,,63981187.0
"Cổ tức, lợi nhuận được chia","Công ty Cổ phần Lương thực Bình Định > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",2.040.000.000,-,2040000000.0,
Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,Công ty Xây lắp Cơ khí và Lương thực thực phẩm,,
Bán hàng,Công ty Xây lắp Cơ khí và Lương thực thực phẩm > Bán hàng,Bán hàng,8.714.344.000,227.365.545,8714344000.0,227365545.0
Dịch vụ cung cấp,Công ty Xây lắp Cơ khí và Lương thực thực phẩm > Dịch vụ cung cấp,Dịch vụ cung cấp,-,35.118.900,,35118900.0
Mua hàng hóa,Công ty Xây lắp Cơ khí và Lương thực thực phẩm > Mua hàng hóa,Mua hàng hóa,9.618.417.120,21.735.167.570,9618417120.0,21735167570.0
Mua tài sản cố định,Công ty Xây lắp Cơ khí và Lương thực thực phẩm > Mua tài sản cố định,Mua tài sản cố định,446.920.000,-,446920000.0,
"Cổ tức, lợi nhuận được chia","Công ty Xây lắp Cơ khí và Lương thực thực phẩm > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",4.319.822.400,-,4319822400.0,
Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,,
Bán hàng,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh > Bán hàng,Bán hàng,22.239.417,2.838.468.268,22239417.0,2838468268.0
