row_label_raw,row_label_full,col_0,1/1/2019 > Giá trị ghi số VND,1/1/2019 > Số có khả năng trả nợ VND,Biến động trong năm > Tăng VND,Biến động trong năm > Giảm VND,Chênh lệch tỷ giá VND,31/12/2019 > Giá trị ghi số VND,31/12/2019 > Số có khả năng trả nợ VND,numeric__1/1/2019 > Giá trị ghi số VND,numeric__1/1/2019 > Số có khả năng trả nợ VND,numeric__Biến động trong năm > Tăng VND,numeric__Biến động trong năm > Giảm VND,numeric__Chênh lệch tỷ giá VND,numeric__31/12/2019 > Giá trị ghi số VND,numeric__31/12/2019 > Số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,2.341.573.152.412,2.341.573.152.412,5.704.973.091.929,(6.749.153.441.420),(568.911.017),1.296.823.891.904,1.296.823.891.904,2341573152412.0,2341573152412.0,5704973091929.0,-6749153441420.0,-568911017.0,1296823891904.0,1296823891904.0
Vay dài hạn đến hạn trả (Thuyết minh 24(b)),Vay dài hạn đến hạn trả (Thuyết minh 24(b)),Vay dài hạn đến hạn trả (Thuyết minh 24(b)),21.438.380.700,21.438.380.700,19.488.516.798,(21.438.380.700),-,19.488.516.798,19.488.516.798,21438380700.0,21438380700.0,19488516798.0,-21438380700.0,,19488516798.0,19488516798.0
,,,2.363.011.533.112,2.363.011.533.112,5.724.461.608.727,(6.770.591.822.120),(568.911.017),1.316.312.408.702,1.316.312.408.702,2363011533112.0,2363011533112.0,5724461608727.0,-6770591822120.0,-568911017.0,1316312408702.0,1316312408702.0
Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn như sau:,,,,,,,
,,,,,,,Loại tiền,Lãi suất,31/12/2019 VND,,,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,,,,,Loại tiền,Lãi suất,31/12/2019 VND,,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Bên cho vay > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,USD (i),203.031.414.718,414.184.961.378,,,,,,203031414718.0,414184961378.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,,,,,,,
▪ Khoản vay 1,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam > ▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,VND (i),-,276.737.550.903,,,,,,,276737550903.0
▪ Khoản vay 2,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam > ▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,USD (i),-,225.861.126.877,,,,,,,225861126877.0
Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Quân đội > ▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,VND (i),24.867.965.541,102.658.646.367,,,,,,24867965541.0,102658646367.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Quân đội > ▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,USD (i),43.661.650.608,93.885.961.942,,,,,,43661650608.0,93885961942.0
Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,▪ Khoản vay 1,VND (i),20.827.209.300,11.594.659.000,,,,,,20827209300.0,11594659000.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,▪ Khoản vay 2,USD (i),200.690.968.286,672.565.065.945,,,,,,200690968286.0,672565065945.0
