row_label_raw,row_label_full,Số dư đầu năm/kỳ > Tăng trong năm/kỳ,Năm kết thúc ngày 31/12/2019 VND > 71.004.179.534 > 5.194.484.715,Từ 9/10/2018 đến 31/12/2018 VND > 67.794.449.774 > 3.807.358.358,numeric__Năm kết thúc ngày 31/12/2019 VND > 71.004.179.534 > 5.194.484.715,numeric__Từ 9/10/2018 đến 31/12/2018 VND > 67.794.449.774 > 3.807.358.358
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(4.779.937.743),(597.628.598),-4779937743.0,-597628598.0
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(42.021.000),-,-42021000.0,
Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(57.850.373.860),-,-57850373860.0,
Xử lý công trình,Xử lý công trình,Xử lý công trình,(2.629.436.930),-,-2629436930.0,
Số dư cuối năm/kỳ,Số dư cuối năm/kỳ,Số dư cuối năm/kỳ,10.896.894.716,71.004.179.534,10896894716.0,71004179534.0
