row_label_raw,row_label_full,col_0,Mã số,1/1/2019 VND (phân loại lại),1/1/2019 VND (theo báo cáo trước đây),numeric__Mã số,numeric__1/1/2019 VND (phân loại lại),numeric__1/1/2019 VND (theo báo cáo trước đây)
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,177.466.534,8.233.160.048,216.0,177466534.0,8233160048.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,160.251.782.011,152.196.088.497,261.0,160251782011.0,152196088497.0
