row_label_raw,row_label_full,Lỗ kế toán trước thuếĐiều chỉnh cho các khoản,01,(190.818.243.759),(1.837.031.414.904),numeric__01,numeric__(190.818.243.759),numeric__(1.837.031.414.904)
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,02,249.264.897.468,51.379.930.393,2.0,249264897468.0,51379930393.0
Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lại,03,17.280.343.899,1.784.729.250.045,3.0,17280343899.0,1784729250045.0
các khoản mục tiền tệ có gốc ngoại tệ,các khoản mục tiền tệ có gốc ngoại tệ,các khoản mục tiền tệ có gốc ngoại tệ,04,(359.264.489),234.481.881,4.0,-359264489.0,234481881.0
Xử lý công trình xây dựng cơ bản dở dang,Xử lý công trình xây dựng cơ bản dở dang,Xử lý công trình xây dựng cơ bản dở dang,05,2.629.436.930,-,5.0,2629436930.0,
Thu nhập từ cổ tức và lãi tiền gửi,Thu nhập từ cổ tức và lãi tiền gửi,Thu nhập từ cổ tức và lãi tiền gửi,05,(35.621.639.169),(117.440.432),5.0,-35621639169.0,-117440432.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,06,118.851.005.502,26.022.201.325,6.0,118851005502.0,26022201325.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,161.226.536.382,25.217.008.308,8.0,161226536382.0,25217008308.0
Biến động các khoản phải thu,Biến động các khoản phải thu,Biến động các khoản phải thu,09,(190.300.872.082),328.853.132.365,9.0,-190300872082.0,328853132365.0
Biến động hàng tồn kho,Biến động hàng tồn kho,Biến động hàng tồn kho,10,1.223.047.263.109,86.119.990.246,10.0,1223047263109.0,86119990246.0
Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,(178.888.100.291),92.796.396.932,11.0,-178888100291.0,92796396932.0
Biến động chi phí trả trước,Biến động chi phí trả trước,Biến động chi phí trả trước,12,185.526.004.799,(148.182.579.458),12.0,185526004799.0,-148182579458.0
,,,,1.200.610.831.917,384.803.948.393,,1200610831917.0,384803948393.0
Tiền lãi vay đã trả,Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(120.162.686.454),(26.753.134.198),14.0,-120162686454.0,-26753134198.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.080.448.145.463,358.050.814.195,20.0,1080448145463.0,358050814195.0
LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,(12.937.782.215),(1.930.330.767),21.0,-12937782215.0,-1930330767.0
Tiền thu lãi tiền gửi và cổ tức,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi và cổ tức,Tiền thu lãi tiền gửi và cổ tức,27,35.621.639.169,77.305.030,27.0,35621639169.0,77305030.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LUỦ CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,22.683.856.954,(1.853.025.737),30.0,22683856954.0,-1853025737.0
