row_label_raw,row_label_full,col_0,Năm kết thúc ngày 31/12/2019 VND,Từ 9/10/2018 đến 31/12/2018 VND,numeric__Năm kết thúc ngày 31/12/2019 VND,numeric__Từ 9/10/2018 đến 31/12/2018 VND
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,,
▪ Doanh thu bán hàng hóa,Tổng doanh thu > ▪ Doanh thu bán hàng hóa,▪ Doanh thu bán hàng hóa,9.875.020.986.060,1.463.022.365.074,9875020986060.0,1463022365074.0
▪ Doanh thu cung cấp dịch vụ,Tổng doanh thu > ▪ Doanh thu cung cấp dịch vụ,▪ Doanh thu cung cấp dịch vụ,131.405.990.485,27.963.153.106,131405990485.0,27963153106.0
,,,10.006.426.976.545,1.490.985.518.180,10006426976545.0,1490985518180.0
Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,,
▪ Chiết khấu thương mại,Trừ đi các khoản giảm trừ doanh thu > ▪ Chiết khấu thương mại,▪ Chiết khấu thương mại,1.903.807.812,324.511.226,1903807812.0,324511226.0
▪ Hàng bán bị trả lại,Trừ đi các khoản giảm trừ doanh thu > ▪ Hàng bán bị trả lại,▪ Hàng bán bị trả lại,103.587.138,1.472.730,103587138.0,1472730.0
▪ Giảm giá hàng bán,Trừ đi các khoản giảm trừ doanh thu > ▪ Giảm giá hàng bán,▪ Giảm giá hàng bán,11.681.617.747,113.072.000,11681617747.0,113072000.0
,,,13.689.012.697,439.055.956,13689012697.0,439055956.0
Doanh thu thuần,Trừ đi các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,9.992.737.963.848,1.490.546.462.224,9992737963848.0,1490546462224.0
