row_label_raw,row_label_full,col_0,Năm kết thúcngày 31/12/2019VND,Từ 9/10/2018đến 31/12/2018VND,numeric__Năm kết thúcngày 31/12/2019VND,numeric__Từ 9/10/2018đến 31/12/2018VND
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,,
Bán hàng,Công ty Cổ phần Xuất nhập khẩu Kiên Giang > Bán hàng,Bán hàng,215.525.864.200,9.878.476.000,215525864200.0,9878476000.0
Dịch vụ cung cấp,Công ty Cổ phần Xuất nhập khẩu Kiên Giang > Dịch vụ cung cấp,Dịch vụ cung cấp,-,70.224.300,,70224300.0
Mua hàng hóa,Công ty Cổ phần Xuất nhập khẩu Kiên Giang > Mua hàng hóa,Mua hàng hóa,59.437.675.000,36.012.562.500,59437675000.0,36012562500.0
"Cổ tức, lợi nhuận được chia","Công ty Cổ phần Xuất nhập khẩu Kiên Giang > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",9.745.008.000,-,9745008000.0,
Công ty Cổ phần Lương thực Nam Trung Bộ,Công ty Cổ phần Lương thực Nam Trung Bộ,Công ty Cổ phần Lương thực Nam Trung Bộ,Công ty Cổ phần Lương thực Nam Trung Bộ,Công ty Cổ phần Lương thực Nam Trung Bộ,,
Bán hàng,Công ty Cổ phần Lương thực Nam Trung Bộ > Bán hàng,Bán hàng,-,139.095.644,,139095644.0
Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,Công ty Cổ phần Bao bì Tiền Giang,,
Bán hàng,Công ty Cổ phần Bao bì Tiền Giang > Bán hàng,Bán hàng,65.413.429,23.870.277,65413429.0,23870277.0
Mua hàng hóa,Công ty Cổ phần Bao bì Tiền Giang > Mua hàng hóa,Mua hàng hóa,4.801.312.240,9.628.748.856,4801312240.0,9628748856.0
"Cổ tức, lợi nhuận được chia","Công ty Cổ phần Bao bì Tiền Giang > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",107.100.000,-,107100000.0,
Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,Công ty Cổ phần Tô Châu,,
Bán hàng,Công ty Cổ phần Tô Châu > Bán hàng,Bán hàng,262.548.504,5.541.351,262548504.0,5541351.0
