row_label_raw,row_label_full,Tên công ty,31/12/2019,31/12/2019_1,31/12/2019_2,1/1/2019,1/1/2019_1,1/1/2019_2,numeric__31/12/2019,numeric__31/12/2019_1,numeric__31/12/2019_2,numeric__1/1/2019,numeric__1/1/2019_1,numeric__1/1/2019_2
Tên công ty,Tên công ty,Tên công ty,% sở hữu và % quyền biểu quyết,Giá gốc VND,Dự phòng VND,% sở hữu và % quyền biểu quyết,Giá gốc VND,Dự phòng VND,,,,,,
Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát,,,,,,
▪ Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > ▪ Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,▪ Công ty Cổ phần Lương thực Thực phẩm Colusa – Miliket,"30,72%",29.752.174.213,-,"30,72%",29.752.174.213,-,0.3072,29752174213.0,,0.3072,29752174213.0,
▪ Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > ▪ Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,▪ Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,"40,00%",7.654.400.000,(7.654.400.000),"40,00%",7.654.400.000,(7.654.400.000),0.4,7654400000.0,-7654400000.0,0.4,7654400000.0,-7654400000.0
▪ Công ty Cổ phần Hoàn Mỹ,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > ▪ Công ty Cổ phần Hoàn Mỹ,▪ Công ty Cổ phần Hoàn Mỹ,"30,00%",22.500.000.000,(22.500.000.000),"30,00%",22.500.000.000,(22.500.000.000),0.3,22500000000.0,-22500000000.0,0.3,22500000000.0,-22500000000.0
▪ Công ty Cổ phần Lương thực Cambodia – Việt Nam,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > ▪ Công ty Cổ phần Lương thực Cambodia – Việt Nam,▪ Công ty Cổ phần Lương thực Cambodia – Việt Nam,"37,00%",57.357.788.023,(57.357.788.023),"37,00%",57.357.788.023,(57.357.788.023),0.37,57357788023.0,-57357788023.0,0.37,57357788023.0,-57357788023.0
▪ Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > ▪ Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,▪ Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,"20,52%",73.261.040.321,-,"20,52%",73.261.040.321,-,0.2052,73261040321.0,,0.2052,73261040321.0,
▪ Công ty TNHH Lương thực V.A.P (*),Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > ▪ Công ty TNHH Lương thực V.A.P (*),▪ Công ty TNHH Lương thực V.A.P (*),-,-,-,"45,00%",43.875.000.000,(43.875.000.000),,,,0.45,43875000000.0,-43875000000.0
▪ Cơ sở nuôi cá ở khóm Long Trị,Các công ty liên kết và cơ sở kinh doanh đồng kiểm soát > ▪ Cơ sở nuôi cá ở khóm Long Trị,▪ Cơ sở nuôi cá ở khóm Long Trị,"60,00%",10.812.000.000,-,"60,00%",10.812.000.000,-,0.6,10812000000.0,,0.6,10812000000.0,
,,,,201.337.402.557,(87.512.188.023),,245.212.402.557,(131.387.188.023),,201337402557.0,-87512188023.0,,245212402557.0,-131387188023.0
