row_label_raw,row_label_full,Bên cho vay,Loại tiền,Lãi suất,31/12/2019 VND,1/1/2019 VND,numeric__Loại tiền,numeric__Lãi suất,numeric__31/12/2019 VND,numeric__1/1/2019 VND
Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng Thương mại Cổ phần An Bình,,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần An Bình > ▪ Khoản vay 1,▪ Khoản vay 1,VND,(i),45.500.000.000,6.280.200.000,,,45500000000.0,6280200000.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần An Bình > ▪ Khoản vay 2,▪ Khoản vay 2,VND,(ii),41.500.000.000,102.200.000.000,,,41500000000.0,102200000000.0
▪ Khoản vay 3,Ngân hàng Thương mại Cổ phần An Bình > ▪ Khoản vay 3,▪ Khoản vay 3,USD,(ii),-,14.653.800.000,,,,14653800000.0
Ngân hàng BNP Paribas – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng BNP Paribas – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng BNP Paribas – Chi nhánh Thành phố Hồ Chí Minh,,,,,,,,
▪ Khoản vay 1,Ngân hàng BNP Paribas – Chi nhánh Thành phố Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,VND,(i),56.000.000.000,194.900.000.000,,,56000000000.0,194900000000.0
▪ Khoản vay 2,Ngân hàng BNP Paribas – Chi nhánh Thành phố Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,USD,(i),77.115.679.050,60.059.870.000,,,77115679050.0,60059870000.0
▪ Khoản vay 3,Ngân hàng BNP Paribas – Chi nhánh Thành phố Hồ Chí Minh > ▪ Khoản vay 3,▪ Khoản vay 3,VND,(iii),39.757.500.000,40.000.000.000,,,39757500000.0,40000000000.0
Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,,,,,,,,
▪ Khoản vay 1,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,USD,(iii),69.690.000.000,115.391.310.000,,,69690000000.0,115391310000.0
▪ Khoản vay 2,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,VND,(iii),59.979.860.000,10.600.000.000,,,59979860000.0,10600000000.0
Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,,,,,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,USD,(i),400.201.644.401,-,,,400201644401.0,
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,VND,(i),14.000.000.000,-,,,14000000000.0,
,,,,,1.296.823.891.904,2.341.573.152.412,,,1296823891904.0,2341573152412.0
