row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2017,Đơn vị tính: VND01/01/2017,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017,numeric__Đơn vị tính: VND01/01/2017
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,1.221.169.931.537,782.998.239.197,100.0,,1221169931537.0,782998239197.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,,24.281.333.152,1.339.907.888,110.0,,24281333152.0,1339907888.0
1. Tiền,1. Tiền,1. Tiền,111,V.1,24.281.333.152,1.339.907.888,111.0,,24281333152.0,1339907888.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,V.2,300.000.000.000,10.000.000,120.0,,300000000000.0,10000000.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,24.400.000,24.400.000,121.0,,24400000.0,24400000.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,(24.400.000),(14.400.000),122.0,,-24400000.0,-14400000.0
3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,123,,300.000.000.000,-,123.0,,300000000000.0,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,507.366.310.334,426.370.176.916,130.0,,507366310334.0,426370176916.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,V.3,265.565.259.109,185.427.042.776,131.0,,265565259109.0,185427042776.0
2. Trá trước cho người bán ngắn hạn,2. Trá trước cho người bán ngắn hạn,2. Trá trước cho người bán ngắn hạn,132,V.4,125.294.353.056,63.480.085.331,132.0,,125294353056.0,63480085331.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,V.5,116.846.698.169,177.803.048.809,136.0,,116846698169.0,177803048809.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,V.4,(340.000.000),(340.000.000),137.0,,-340000000.0,-340000000.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,389.253.225.525,350.216.555.265,140.0,,389253225525.0,350216555265.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,V.9,389.253.225.525,350.216.555.265,141.0,,389253225525.0,350216555265.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,269.062.526,5.061.599.128,150.0,,269062526.0,5061599128.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,V.11,269.062.526,105.166.869,151.0,,269062526.0,105166869.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,-,4.956.432.259,152.0,,,4956432259.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,1.300.063.173.477,1.064.263.119.222,200.0,,1300063173477.0,1064263119222.0
