row_label_raw,row_label_full,b) Dài hạn,99.897.193.002,93.136.223.033,numeric__99.897.193.002,numeric__93.136.223.033
"Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",9.393.501.652,3.397.419.841,9393501652.0,3397419841.0
Công ty TNHH Roche Việt Nam,Công ty TNHH Roche Việt Nam,Công ty TNHH Roche Việt Nam,532.569.805,532.569.805,532569805.0,532569805.0
Công ty TNHH DKSH Việt Nam - Chi nhánh Hà Nội,Công ty TNHH DKSH Việt Nam - Chi nhánh Hà Nội,Công ty TNHH DKSH Việt Nam - Chi nhánh Hà Nội,1.915.951.429,1.920.586.456,1915951429.0,1920586456.0
Phạm Thị Miền (1),Phạm Thị Miền (1),Phạm Thị Miền (1),5.790.000.000,-,5790000000.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.154.980.418,944.263.580,1154980418.0,944263580.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",90.503.691.350,89.738.803.192,90503691350.0,89738803192.0
Phí bảo trì Dự án Chỉ Đông,Phí bảo trì Dự án Chỉ Đông,Phí bảo trì Dự án Chỉ Đông,1.315.788.903,1.315.788.903,1315788903.0,1315788903.0
Công ty TNHH C.E.O Quốc tế (2),Công ty TNHH C.E.O Quốc tế (2),Công ty TNHH C.E.O Quốc tế (2),86.700.000.000,86.700.000.000,86700000000.0,86700000000.0
Phí bảo trì dự án nhà ở xã hội,Phí bảo trì dự án nhà ở xã hội,Phí bảo trì dự án nhà ở xã hội,1.711.477.522,969.721.847,1711477522.0,969721847.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,776.424.925,753.292.442,776424925.0,753292442.0
Cộng,Cộng,Cộng,105.354.839.695,97.119.320.975,105354839695.0,97119320975.0
