row_label_raw,row_label_full,Khoản mục,Nhà cửa vật kiến trúc,Phương tiện vận tải,"Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,numeric__Nhà cửa vật kiến trúc,numeric__Phương tiện vận tải,"numeric__Thiết bị, dụng cụ quản lý",numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư ngày 01/01/2017,Nguyên giá > Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,25.609.847.890,12.703.956.363,1.886.019.021,1.550.417.005,41.750.240.279,25609847890.0,12703956363.0,1886019021.0,1550417005.0,41750240279.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,912.850.986,-,711.822.561,-,1.624.673.547,912850986.0,,711822561.0,,1624673547.0
Tăng khác (*),Nguyên giá > Tăng khác (*),Tăng khác (*),98.527.929,-,-,-,98.527.929,98527929.0,,,,98527929.0
Giám khác (*),Nguyên giá > Giám khác (*),Giám khác (*),-,-,(98.527.929),-,(98.527.929),,,-98527929.0,,-98527929.0
Số dư ngày 31/12/2017,Nguyên giá > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,26.621.226.805,12.703.956.363,2.499.313.653,1.550.417.005,43.374.913.826,26621226805.0,12703956363.0,2499313653.0,1550417005.0,43374913826.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,,,,,
Số dư ngày 01/01/2017,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,2.504.696.112,1.464.781.070,1.369.901.208,1.550.417.005,6.889.795.395,2504696112.0,1464781070.0,1369901208.0,1550417005.0,6889795395.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,552.371.704,1.636.771.825,315.272.255,-,2.504.415.784,552371704.0,1636771825.0,315272255.0,,2504415784.0
Tăng khác (*),Giá trị hao mòn luỹ kế > Tăng khác (*),Tăng khác (*),98.527.929,-,-,-,98.527.929,98527929.0,,,,98527929.0
Giám khác (*),Giá trị hao mòn luỹ kế > Giám khác (*),Giám khác (*),-,-,(98.527.929),-,(98.527.929),,,-98527929.0,,-98527929.0
Số dư ngày 31/12/2017,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,3.155.595.745,3.101.552.895,1.586.645.534,1.550.417.005,9.394.211.179,3155595745.0,3101552895.0,1586645534.0,1550417005.0,9394211179.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
- Tại ngày 01/01/2017,Giá trị còn lại > - Tại ngày 01/01/2017,- Tại ngày 01/01/2017,23.105.151.778,11.239.175.293,516.117.813,-,34.860.444.884,23105151778.0,11239175293.0,516117813.0,,34860444884.0
- Tại ngày 31/12/2017,Giá trị còn lại > - Tại ngày 31/12/2017,- Tại ngày 31/12/2017,23.465.631.060,9.602.403.468,912.668.119,-,33.980.702.647,23465631060.0,9602403468.0,912668119.0,,33980702647.0
