row_label_raw,row_label_full,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,424.000.000,col_2,numeric__424.000.000,numeric__col_2
Công ty TNHH MTV Khách sạn và Nghị dưỡng C.E.O,Công ty TNHH MTV Khách sạn và Nghị dưỡng C.E.O,Công ty TNHH MTV Khách sạn và Nghị dưỡng C.E.O,9.384.602.029,,9384602029.0,
Công ty CP C.E.O Quốc tế,Công ty CP C.E.O Quốc tế,Công ty CP C.E.O Quốc tế,52.146.695,,52146695.0,
Bán hàng,Bán hàng,Bán hàng,91.683.427.435,23.230.225.816,91683427435.0,23230225816.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,22.140.553.058,15.138.227.554,22140553058.0,15138227554.0
Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,618.291.786,714.930.291,618291786.0,714930291.0
Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,-,1.957.839.929,,1957839929.0
Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,953.760.720,329.952.472,953760720.0,329952472.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,32.741.271.995,1.609.254.545,32741271995.0,1609254545.0
Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,2.287.831.872,-,2287831872.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,28.759.675.404,-,28759675404.0,
Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,4.086.338.400,-,4086338400.0,
Công ty TNHH MTV Khách sạn và Nghị dưỡng C.E.O,Công ty TNHH MTV Khách sạn và Nghị dưỡng C.E.O,Công ty TNHH MTV Khách sạn và Nghị dưỡng C.E.O,95.704.200,-,95704200.0,
Phạm Thị Mai Lan,Phạm Thị Mai Lan,Phạm Thị Mai Lan,-,665.073.704,,665073704.0
Đỗ Văn Tiến,Đỗ Văn Tiến,Đỗ Văn Tiến,-,2.814.947.321,,2814947321.0
Tiền vay đã trả,Tiền vay đã trả,Tiền vay đã trả,-,31.000.000.000,,31000000000.0
Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,-,31.000.000.000,,31000000000.0
Lãi vay phát sinh,Lãi vay phát sinh,Lãi vay phát sinh,52.577.778,2.990.455.556,52577778.0,2990455556.0
