row_label_raw,row_label_full,STT,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2017,Đơn vị tính: VNDNăm 2016,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2017,numeric__Đơn vị tính: VNDNăm 2016
I.,I.,I.,Lưu chuyển tiền tử hoạt động kinh doanh,,,,,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,200.980.578.481,150.837.138.802,,1.0,,200980578481.0,150837138802.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,,,
-,2. > -,-,Khấu hao TSCĐ và BDSDT,02,,9.942.245.517,6.014.192.020,,2.0,,9942245517.0,6014192020.0
-,2. > -,-,Các khoản dự phòng,03,,2.341.058.655,(799.080.450),,3.0,,2341058655.0,-799080450.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,(4.636.529),39.137.474,,4.0,,-4636529.0,39137474.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,,(150.744.736.476),(72.522.071.506),,5.0,,-150744736476.0,-72522071506.0
-,2. > -,-,Chi phí lãi vay,06,,19.152.218.687,19.296.265.807,,6.0,,19152218687.0,19296265807.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,81.666.728.335,102.865.582.147,,8.0,,81666728335.0,102865582147.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,(3.196.725.854),(208.899.641.655),,9.0,,-3196725854.0,-208899641655.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,(39.036.670.260),19.455.004.997,,10.0,,-39036670260.0,19455004997.0
-,2. > -,-,"Tăng, giảm các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,(4.161.271.841),23.052.806.909,,11.0,,-4161271841.0,23052806909.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,643.517.248,311.001.670,,12.0,,643517248.0,311001670.0
-,2. > -,-,Tiền lãi vay đã trả,14,,(19.753.631.570),(17.559.433.800),,14.0,,-19753631570.0,-17559433800.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,,(17.383.829.249),(10.730.093.483),,15.0,,-17383829249.0,-10730093483.0
-,2. > -,-,Tiền chi khác cho hoạt động kinh doanh,17,,(4.112.364.460),-,,17.0,,-4112364460.0,
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(5.334.247.651),(91.504.773.215),,20.0,,-5334247651.0,-91504773215.0
II.,II.,II.,Lưu chuyển tiền tử hoạt động đầu tư,,,,,,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,(14.187.690.607),(100.973.876.382),,21.0,,-14187690607.0,-100973876382.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,-,11.413.797.970,,22.0,,,11413797970.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(336.200.000.000),(327.585.000.000),,23.0,,-336200000000.0,-327585000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị",24,,36.200.000.000,331.935.000.000,,24.0,,36200000000.0,331935000000.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(246.300.000.000),(255.349.403.882),,25.0,,-246300000000.0,-255349403882.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,26,,2.000.000.000,-,,26.0,,2000000000.0,
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,87.464.976.198,90.126.847.870,,27.0,,87464976198.0,90126847870.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(471.022.714.409),(250.432.634.424),,30.0,,-471022714409.0,-250432634424.0
III.,III.,III.,Lưu chuyển tiền tử hoạt động tài chính,,,,,,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ",31,,514.679.970.000,343.119.980.000,,31.0,,514679970000.0,343119980000.0
3.,III. > 3.,3.,Tiền thu từ đi vay,33,,922.738.498.515,853.320.866.385,,33.0,,922738498515.0,853320866385.0
4.,III. > 4.,4.,Tiền trả nợ gốc vay,34,,(835.193.094.693),(803.305.099.941),,34.0,,-835193094693.0,-803305099941.0
6.,III. > 6.,6.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(102.926.988.000),(61.761.596.400),,36.0,,-102926988000.0,-61761596400.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,499.298.385.822,331.374.150.044,,40.0,,499298385822.0,331374150044.0
,,,Lưu chuyển tiền thuần trong kỳ (50=20+30+40),50,,22.941.423.762,(10.563.257.595),,50.0,,22941423762.0,-10563257595.0
,,,Tiền và tương đương tiền đầu kỳ,60,,1.339.907.888,11.903.115.914,,60.0,,1339907888.0,11903115914.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,1.502,49.569,,61.0,,1502.0,49569.0
,,,Tiền và tương đương tiền cuối kỳ (70=50+60+61),70,V.01,24.281.333.152,1.339.907.888,,70.0,,24281333152.0,1339907888.0
,,,,,,"Hà Nội, ngợy 22 tháng 02 năm 2018","Hà Nội, ngợy 22 tháng 02 năm 2018",,,,,
,,,Người lập biểu,Kế toán trưởng,Kế toán trưởng,Tổng Giám đốc,Tổng Giám đốc,,,,,
,,,,,,CÔNG TY CỔ PHẦN TẬP DOÀN C.E.O,CÔNG TY CỔ PHẦN TẬP DOÀN C.E.O,,,,,
,,,Hoàng Thị Nhung,Đồ Thị Thơm,Đồ Thị Thơm,La Văn Tổ,La Văn Tổ,,,,,
