row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2017,Đơn vị tính: VNDNăm 2016,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2017,numeric__Đơn vị tính: VNDNăm 2016
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,387.360.017.006,336.502.172.071,1.0,,387360017006.0,336502172071.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
3. Doanh thu thuần về hoạt động kinh doanh (10 = 01 - 02),3. Doanh thu thuần về hoạt động kinh doanh (10 = 01 - 02),3. Doanh thu thuần về hoạt động kinh doanh (10 = 01 - 02),10,,387.360.017.006,336.502.172.071,10.0,,387360017006.0,336502172071.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,VI.2,275.975.282.973,204.167.874.990,11.0,,275975282973.0,204167874990.0
5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),20,,111.384.734.033,132.334.297.081,20.0,,111384734033.0,132334297081.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,VI.3,151.180.823.530,72.220.581.240,21.0,,151180823530.0,72220581240.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,VI.4,21.493.277.342,18.391.322.831,22.0,,21493277342.0,18391322831.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,19.152.218.687,19.296.265.807,23.0,,19152218687.0,19296265807.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,VI.7,6.831.730.906,4.543.682.332,25.0,,6831730906.0,4543682332.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,VI.7,33.146.093.694,29.691.645.395,26.0,,33146093694.0,29691645395.0
10. Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},10. Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},10. Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,201.094.455.621,151.928.227.763,30.0,,201094455621.0,151928227763.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,VI.5,98.152.559,1.140.925.362,31.0,,98152559.0,1140925362.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,VI.6,212.029.699,2.232.014.323,32.0,,212029699.0,2232014323.0
13. Lợi nhuận khác (40 = 31 - 32),13. Lợi nhuận khác (40 = 31 - 32),13. Lợi nhuận khác (40 = 31 - 32),40,,(113.877.140),(1.091.088.961),40.0,,-113877140.0,-1091088961.0
14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,200.980.578.481,150.837.138.802,50.0,,200980578481.0,150837138802.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,VI.11,12.239.091.888,18.595.102.424,51.0,,12239091888.0,18595102424.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,-,-,52.0,,,
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50 - 51 - 52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50 - 51 - 52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50 - 51 - 52),60,,188.741.486.593,132.242.036.378,60.0,,188741486593.0,132242036378.0
