row_label_raw,row_label_full,Khoản mục,"Bản quyền, bán sáng chế","Chương trình, phần mềm",Nhân hiệu hàng hóa quốc tế,Đơn vị tính: VND Tổng cộng,"numeric__Bản quyền, bán sáng chế","numeric__Chương trình, phần mềm",numeric__Nhân hiệu hàng hóa quốc tế,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư ngày 01/01/2017,Nguyên giá > Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,62.000.000,371.705.750,267.227.596,700.933.346,62000000.0,371705750.0,267227596.0,700933346.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,231.100.000,-,231.100.000,,231100000.0,,231100000.0
Số dư ngày 31/12/2017,Nguyên giá > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,62.000.000,602.805.750,267.227.596,932.033.346,62000000.0,602805750.0,267227596.0,932033346.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư ngày 01/01/2017,Giá trị hao mòn lũy kế > Số dư ngày 01/01/2017,Số dư ngày 01/01/2017,62.000.000,296.601.582,267.227.596,625.829.178,62000000.0,296601582.0,267227596.0,625829178.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,66.938.899,-,66.938.899,,66938899.0,,66938899.0
Số dư ngày 31/12/2017,Giá trị hao mòn lũy kế > Số dư ngày 31/12/2017,Số dư ngày 31/12/2017,62.000.000,363.540.481,267.227.596,692.768.077,62000000.0,363540481.0,267227596.0,692768077.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
- Tại ngày 01/01/2017,Giá trị còn lại > - Tại ngày 01/01/2017,- Tại ngày 01/01/2017,-,75.104.168,-,75.104.168,,75104168.0,,75104168.0
- Tại ngày 31/12/2017,Giá trị còn lại > - Tại ngày 31/12/2017,- Tại ngày 31/12/2017,-,239.265.269,-,239.265.269,,239265269.0,,239265269.0
