row_label_raw,row_label_full,"Tổng thu nhập phát sinh, trong đó:",37.087.784.469,22.782.289.537,numeric__37.087.784.469,numeric__22.782.289.537
Thu nhập chịu thuế thu nhập doanh nghiệp,Thu nhập chịu thuế thu nhập doanh nghiệp,Thu nhập chịu thuế thu nhập doanh nghiệp,37.087.784.469,22.782.289.537,37087784469.0,22782289537.0
Thu nhập không chịu thuế thu nhập doanh nghiệp,Thu nhập không chịu thuế thu nhập doanh nghiệp,Thu nhập không chịu thuế thu nhập doanh nghiệp,-,-,,
"Tổng chi phí phát sinh, trong đó:","Thu nhập không chịu thuế thu nhập doanh nghiệp > Tổng chi phí phát sinh, trong đó:","Tổng chi phí phát sinh, trong đó:",46.486.564.529,27.789.563.288,46486564529.0,27789563288.0
Chi phí tính thuế thu nhập doanh nghiệp,Thu nhập không chịu thuế thu nhập doanh nghiệp > Chi phí tính thuế thu nhập doanh nghiệp,Chi phí tính thuế thu nhập doanh nghiệp,46.486.564.529,27.747.481.591,46486564529.0,27747481591.0
Chi phí không được trừ khi tính thuế thu nhập doanh nghiệp,Thu nhập không chịu thuế thu nhập doanh nghiệp > Chi phí không được trừ khi tính thuế thu nhập doanh nghiệp,Chi phí không được trừ khi tính thuế thu nhập doanh nghiệp,-,42.081.697,,42081697.0
Lợi nhuận chịu thuế thu nhập doanh nghiệp hoạt động kinh doanh nhà ở,Thu nhập không chịu thuế thu nhập doanh nghiệp > Lợi nhuận chịu thuế thu nhập doanh nghiệp hoạt động kinh doanh nhà ở,Lợi nhuận chịu thuế thu nhập doanh nghiệp hoạt động kinh doanh nhà ở,(9.398.780.060),(4.965.192.054),-9398780060.0,-4965192054.0
Bù trừ lỗ của hoạt động kinh doanh nhà ở xã hội với lợi nhuận của hoạt động kinh doanh bất động sản thông thường,Thu nhập không chịu thuế thu nhập doanh nghiệp > Bù trừ lỗ của hoạt động kinh doanh nhà ở xã hội với lợi nhuận của hoạt động kinh doanh bất động sản thông thường,Bù trừ lỗ của hoạt động kinh doanh nhà ở xã hội với lợi nhuận của hoạt động kinh doanh bất động sản thông thường,(679.122.542),(2.291.011.050),-679122542.0,-2291011050.0
Bù trừ lỗ của hoạt động kinh doanh nhà ở xã hội với lợi nhuận của hoạt động kinh doanh thông thường,Thu nhập không chịu thuế thu nhập doanh nghiệp > Bù trừ lỗ của hoạt động kinh doanh nhà ở xã hội với lợi nhuận của hoạt động kinh doanh thông thường,Bù trừ lỗ của hoạt động kinh doanh nhà ở xã hội với lợi nhuận của hoạt động kinh doanh thông thường,(8.719.657.518),(2.674.181.004),-8719657518.0,-2674181004.0
Thu nhập tính thuế thu nhập doanh nghiệp sau khi bù trừ lãi lỗ giữa các hoạt động kinh doanh,Thu nhập không chịu thuế thu nhập doanh nghiệp > Thu nhập tính thuế thu nhập doanh nghiệp sau khi bù trừ lãi lỗ giữa các hoạt động kinh doanh,Thu nhập tính thuế thu nhập doanh nghiệp sau khi bù trừ lãi lỗ giữa các hoạt động kinh doanh,61.195.459.438,92.980.031.945,61195459438.0,92980031945.0
Thuế suất thuế thu nhập doanh nghiệp hiện hành,Thu nhập không chịu thuế thu nhập doanh nghiệp > Thuế suất thuế thu nhập doanh nghiệp hiện hành,Thuế suất thuế thu nhập doanh nghiệp hiện hành,20%,20%,0.2,0.2
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế kỳ hiện,Thu nhập không chịu thuế thu nhập doanh nghiệp > Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế kỳ hiện,Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế kỳ hiện,12.239.091.888,18.596.006.389,12239091888.0,18596006389.0
Điều chỉnh giảm thuế thu nhập doanh nghiệp theo biên bản đối chiếu với Cơ quan thuế,Thu nhập không chịu thuế thu nhập doanh nghiệp > Điều chỉnh giảm thuế thu nhập doanh nghiệp theo biên bản đối chiếu với Cơ quan thuế,Điều chỉnh giảm thuế thu nhập doanh nghiệp theo biên bản đối chiếu với Cơ quan thuế,-,(903.965),,-903965.0
Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,Thu nhập không chịu thuế thu nhập doanh nghiệp > Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,12.239.091.888,18.595.102.424,12239091888.0,18595102424.0
