row_label_raw,row_label_full,col_0,31/12/2017 > Giá trị,31/12/2017 > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,01/01/2017 > Giá trị,01/01/2017 > Số có khả năng trả nợ,numeric__31/12/2017 > Giá trị,numeric__31/12/2017 > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__01/01/2017 > Giá trị,numeric__01/01/2017 > Số có khả năng trả nợ
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,290.883.908.673,290.883.908.673,1.005.947.453.158,854.072.314.693,139.008.770.208,139.008.770.208,290883908673.0,290883908673.0,1005947453158.0,854072314693.0,139008770208.0,139008770208.0
"Vay ngân hàng, tổ chức kinh tế","Vay ngân hàng, tổ chức kinh tế","Vay ngân hàng, tổ chức kinh tế",290.883.908.673,290.883.908.673,997.586.233.158,834.693.094.693,127.990.770.208,127.990.770.208,290883908673.0,290883908673.0,997586233158.0,834693094693.0,127990770208.0,127990770208.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (1),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (1),Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Thanh Xuân (1),290.883.908.673,290.883.908.673,997.586.233.158,832.094.136.293,125.391.811.808,125.391.811.808,290883908673.0,290883908673.0,997586233158.0,832094136293.0,125391811808.0,125391811808.0
Công ty CP Phát triển dịch vụ C.E.O (2),Công ty CP Phát triển dịch vụ C.E.O (2),Công ty CP Phát triển dịch vụ C.E.O (2),-,-,-,1.600.000.000,1.600.000.000,1.600.000.000,,,,1600000000.0,1600000000.0,1600000000.0
Công ty CP Đầu tư phát triển nhà Hàng Hải Phú Quốc (3),Công ty CP Đầu tư phát triển nhà Hàng Hải Phú Quốc (3),Công ty CP Đầu tư phát triển nhà Hàng Hải Phú Quốc (3),-,-,-,998.958.400,998.958.400,998.958.400,,,,998958400.0,998958400.0,998958400.0
Vay cá nhân,Vay cá nhân,Vay cá nhân,-,-,8.361.220.000,19.379.220.000,11.018.000.000,11.018.000.000,,,8361220000.0,19379220000.0,11018000000.0,11018000000.0
Nguyễn Lê Vinh,Nguyễn Lê Vinh,Nguyễn Lê Vinh,-,-,-,500.000.000,500.000.000,500.000.000,,,,500000000.0,500000000.0,500000000.0
Nguyễn Xuân Thanh (4),Nguyễn Xuân Thanh (4),Nguyễn Xuân Thanh (4),-,-,-,500.000.000,500.000.000,500.000.000,,,,500000000.0,500000000.0,500000000.0
Phạm Ngọc Hiệp (5),Phạm Ngọc Hiệp (5),Phạm Ngọc Hiệp (5),-,-,-,4.046.000.000,4.046.000.000,4.046.000.000,,,,4046000000.0,4046000000.0,4046000000.0
Tạ Thị Huyên (6),Tạ Thị Huyên (6),Tạ Thị Huyên (6),-,-,-,5.972.000.000,5.972.000.000,5.972.000.000,,,,5972000000.0,5972000000.0,5972000000.0
Vũ Thị Tổ Lan (7),Vũ Thị Tổ Lan (7),Vũ Thị Tổ Lan (7),-,-,2.150.000.000,2.150.000.000,-,-,,,2150000000.0,2150000000.0,,
Hoàng Văn Sen (8),Hoàng Văn Sen (8),Hoàng Văn Sen (8),-,-,6.211.220.000,6.211.220.000,-,-,,,6211220000.0,6211220000.0,,
