row_label_raw,row_label_full,col_0,31/12/2017 > Giá trị,31/12/2017 > Số có khả năngtrà nợ,01/01/2017 > Giá trị,01/01/2017 > Số có khả năngtrà nợ,numeric__31/12/2017 > Giá trị,numeric__31/12/2017 > Số có khả năngtrà nợ,numeric__01/01/2017 > Giá trị,numeric__01/01/2017 > Số có khả năngtrà nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty CP Bắt động sản ThếKỹ,Ngắn hạn > Công ty CP Bắt động sản ThếKỹ,Công ty CP Bắt động sản ThếKỹ,3.290.144.675,3.290.144.675,-,-,3290144675.0,3290144675.0,,
Công ty CP Đầu tư vàThương mại Thái Hòa,Ngắn hạn > Công ty CP Đầu tư vàThương mại Thái Hòa,Công ty CP Đầu tư vàThương mại Thái Hòa,9.557.122.575,9.557.122.575,-,-,9557122575.0,9557122575.0,,
Công ty CP Đầu tư Xây dựngPhục Hưng 7,Ngắn hạn > Công ty CP Đầu tư Xây dựngPhục Hưng 7,Công ty CP Đầu tư Xây dựngPhục Hưng 7,3.353.223.080,3.353.223.080,2.596.299.550,2.596.299.550,3353223080.0,3353223080.0,2596299550.0,2596299550.0
Công ty CP Đức Trí Tín PhúQuốc,Ngắn hạn > Công ty CP Đức Trí Tín PhúQuốc,Công ty CP Đức Trí Tín PhúQuốc,2.757.744.887,2.757.744.887,-,-,2757744887.0,2757744887.0,,
Công ty CP FECON,Ngắn hạn > Công ty CP FECON,Công ty CP FECON,3.009.880.610,3.009.880.610,-,-,3009880610.0,3009880610.0,,
Công ty CP Tư vấn PCCC HàNội,Ngắn hạn > Công ty CP Tư vấn PCCC HàNội,Công ty CP Tư vấn PCCC HàNội,540.123.100,540.123.100,2.123.615.600,2.123.615.600,540123100.0,540123100.0,2123615600.0,2123615600.0
Công ty CP Cáp điện và Hệthống LS-VINA,Ngắn hạn > Công ty CP Cáp điện và Hệthống LS-VINA,Công ty CP Cáp điện và Hệthống LS-VINA,-,-,6.074.291.433,6.074.291.433,,,6074291433.0,6074291433.0
Công ty TNHH MTV Kháchsạn và Nghị dưỡng C.E.O,Ngắn hạn > Công ty TNHH MTV Kháchsạn và Nghị dưỡng C.E.O,Công ty TNHH MTV Kháchsạn và Nghị dưỡng C.E.O,2.935.850.470,2.935.850.470,-,-,2935850470.0,2935850470.0,,
Các đối tượng khác,Ngắn hạn > Các đối tượng khác,Các đối tượng khác,13.716.646.899,13.716.646.899,16.302.004.215,16.302.004.215,13716646899.0,13716646899.0,16302004215.0,16302004215.0
Cộng,Ngắn hạn > Cộng,Cộng,39.160.736.296,39.160.736.296,27.096.210.798,27.096.210.798,39160736296.0,39160736296.0,27096210798.0,27096210798.0
