row_label_raw,row_label_full,Khoản mục,01/01/2017,Số phải nộp trong năm,Số đã thực nộp trong năm,31/12/2017,numeric__01/01/2017,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__31/12/2017
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế GTGT hàng nội địa,Phải nộp > Thuế GTGT hàng nội địa,Thuế GTGT hàng nội địa,-,2.178.301.617,1.351.236.794,827.064.823,,2178301617.0,1351236794.0,827064823.0
Thuế TNDN,Phải nộp > Thuế TNDN,Thuế TNDN,11.013.352.441,12.239.091.888,17.383.829.249,5.868.615.080,11013352441.0,12239091888.0,17383829249.0,5868615080.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,433.886.554,5.479.343.427,5.607.953.746,305.276.235,433886554.0,5479343427.0,5607953746.0,305276235.0
Thuế nhà đất và tiền thuê đất,Phải nộp > Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,-,568.468.941,568.468.941,-,,568468941.0,568468941.0,
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,3.000.000,3.000.000,-,,3000000.0,3000000.0,
Cộng,Phải nộp > Cộng,Cộng,11.447.238.995,20.468.205.873,24.914.488.730,7.000.956.138,11447238995.0,20468205873.0,24914488730.0,7000956138.0
