row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_4,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_5,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_6,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_5,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo) > (Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_6
2. Các khoản đầu tư tài chính ngắn hạn,2. Các khoản đầu tư tài chính ngắn hạn,2. Các khoản đầu tư tài chính ngắn hạn,2. Các khoản đầu tư tài chính ngắn hạn,2. Các khoản đầu tư tài chính ngắn hạn,2. Các khoản đầu tư tài chính ngắn hạn,2. Các khoản đầu tư tài chính ngắn hạn,2. Các khoản đầu tư tài chính ngắn hạn,2. Các khoản đầu tư tài chính ngắn hạn,,,,,,
a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,31/12/2017VND,31/12/2017VND,31/12/2017VND,01/01/2017VND,01/01/2017VND,01/01/2017VND,,,,,,
a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Ủy thác tại Công ty CP Chứng khoán Thăng Long:,Ủy thác tại Công ty CP Chứng khoán Thăng Long:,Ủy thác tại Công ty CP Chứng khoán Thăng Long:,,,,,,,,,,,,
Cố phiếu Công ty CP Cà phê An Giang - Mã AGC (*),Ủy thác tại Công ty CP Chứng khoán Thăng Long: > Cố phiếu Công ty CP Cà phê An Giang - Mã AGC (*),Cố phiếu Công ty CP Cà phê An Giang - Mã AGC (*),24.400.000,-,24.400.000,24.400.000,10.000.000,14.400.000,24400000.0,,24400000.0,24400000.0,10000000.0,14400000.0
- Số lượng: 4.000 cổ phiếu,- Số lượng: 4.000 cổ phiếu,- Số lượng: 4.000 cổ phiếu,,,,,,,,,,,,
Cộng,- Số lượng: 4.000 cổ phiếu > Cộng,Cộng,24.400.000,-,24.400.000,24.400.000,10.000.000,14.400.000,24400000.0,,24400000.0,24400000.0,10000000.0,14400000.0
