row_label_raw,row_label_full,col_0,31/12/2017VND > Giá gốc,31/12/2017VND > Dự phòng,31/12/2017VND > Giá trị hợp lý,01/01/2017VND > Giá gốc,01/01/2017VND > Dự phòng,01/01/2017VND > Giá trị hợp lý,numeric__31/12/2017VND > Giá gốc,numeric__31/12/2017VND > Dự phòng,numeric__31/12/2017VND > Giá trị hợp lý,numeric__01/01/2017VND > Giá gốc,numeric__01/01/2017VND > Dự phòng,numeric__01/01/2017VND > Giá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,,,
Công ty TNHH C.E.O Quốc tế,Đầu tư vào công ty con > Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,83.919.980.000,-,83.919.980.000,83.919.980.000,-,83.919.980.000,83919980000.0,,83919980000.0,83919980000.0,,83919980000.0
Công ty CP Xây dựng C.E.O,Đầu tư vào công ty con > Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,30.600.000.000,-,30.600.000.000,15.300.000.000,-,15.300.000.000,30600000000.0,,30600000000.0,15300000000.0,,15300000000.0
Công ty CP Phát triển dịch vụ C.E.O,Đầu tư vào công ty con > Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,22.950.000.000,-,22.950.000.000,22.950.000.000,-,22.950.000.000,22950000000.0,,22950000000.0,22950000000.0,,22950000000.0
Trường Cao đẳng Đại Việt,Đầu tư vào công ty con > Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,42.900.000.000,10.663.861.661,32.236.138.339,42.900.000.000,8.599.484.615,34.300.515.385,42900000000.0,10663861661.0,32236138339.0,42900000000.0,8599484615.0,34300515385.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Đầu tư vào công ty con > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,306.029.000.000,-,306.029.000.000,270.029.000.000,-,270.029.000.000,306029000000.0,,306029000000.0,270029000000.0,,270029000000.0
Công ty CP Đầu tư BMC - CEO,Đầu tư vào công ty con > Công ty CP Đầu tư BMC - CEO,Công ty CP Đầu tư BMC - CEO,17.900.000.000,389.560.915,17.510.439.085,17.900.000.000,86.915.076,17.813.084.924,17900000000.0,389560915.0,17510439085.0,17900000000.0,86915076.0,17813084924.0
Công ty CP Du lịch C.E.O,Đầu tư vào công ty con > Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,10.200.000.000,-,10.200.000.000,10.200.000.000,21.490.820,10.178.509.180,10200000000.0,,10200000000.0,10200000000.0,21490820.0,10178509180.0
Công ty CP Phát triển nhà và đó thị Phú Quốc,Đầu tư vào công ty con > Công ty CP Phát triển nhà và đó thị Phú Quốc,Công ty CP Phát triển nhà và đó thị Phú Quốc,225.181.028.803,-,225.181.028.803,225.181.028.803,-,225.181.028.803,225181028803.0,,225181028803.0,225181028803.0,,225181028803.0
Công ty TNHH MTV Dịch vụ Bảo vệ C.E.O,Đầu tư vào công ty con > Công ty TNHH MTV Dịch vụ Bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ Bảo vệ C.E.O,-,-,-,2.000.000.000,9.352.500,1.990.647.500,,,,2000000000.0,9352500.0,1990647500.0
Công ty TNHH MTV Khách sạn và Nghi dưỡng C.E.O,Đầu tư vào công ty con > Công ty TNHH MTV Khách sạn và Nghi dưỡng C.E.O,Công ty TNHH MTV Khách sạn và Nghi dưỡng C.E.O,20.000.000.000,-,20.000.000.000,20.000.000.000,5.120.910,19.994.879.090,20000000000.0,,20000000000.0,20000000000.0,5120910.0,19994879090.0
Công ty CP Đầu tư và Phát triển Du lịch Vân Đồn,Đầu tư vào công ty con > Công ty CP Đầu tư và Phát triển Du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển Du lịch Vân Đồn,195.000.000.000,-,195.000.000.000,-,-,-,195000000000.0,,195000000000.0,,,
Cộng,Đầu tư vào công ty con > Cộng,Cộng,954.680.008.803,11.053.422.576,943.626.586.227,710.380.008.803,8.722.363.921,701.657.644.882,954680008803.0,11053422576.0,943626586227.0,710380008803.0,8722363921.0,701657644882.0
