row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Công ty Cổ phần Đất Xanh Premium,Công ty Cổ phần Đất Xanh Premium,Công ty Cổ phần Đất Xanh Premium,Bên liên quan,Đặt cọc Doanh thu bán căn hộ,5.360.000.000,-,,,5360000000.0,
Công ty Cổ phần Đất Xanh Premium,Công ty Cổ phần Đất Xanh Premium,Công ty Cổ phần Đất Xanh Premium,Bên liên quan,Đặt cọc Doanh thu bán căn hộ,1.497.631.838,-,,,1497631838.0,
LDG,LDG,LDG,Công ty liên kết,Lãi từ cho vay Cho vay Mua 25.500.000 cổ phiếu phát hành cho cổ đông chiến lược,4.135.666.665,1.431.875.000 34.800.000.000,,,4135666665.0,
LDG,LDG,LDG,Công ty liên kết,Lãi từ cho vay Cho vay Mua 25.500.000 cổ phiếu phát hành cho cổ đông chiến lược,-,1.431.875.000 34.800.000.000,,,,
LDG,LDG > LDG,LDG,Công ty liên kết,Lãi từ cho vay Cho vay Mua 25.500.000 cổ phiếu phát hành cho cổ đông chiến lược,-,255.000.000.000,,,,255000000000.0
Hà An,LDG > Hà An,Hà An,Công ty con,Gớp vốn,3.914.775.310,-,,,3914775310.0,
Đất Xanh Tây Nam Bộ,LDG > Đất Xanh Tây Nam Bộ,Đất Xanh Tây Nam Bộ,Công ty con,Gớp vốn,2.040.000.000,-,,,2040000000.0,
Bà Trần Thủy Trang,LDG > Bà Trần Thủy Trang,Bà Trần Thủy Trang,Kế toán trường,Doanh thu bán căn hộ,455.880.603,-,,,455880603.0,
Ông Lương Trí Tú,LDG > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Doanh thu bán căn hộ,-,404.725.202,,,,404725202.0
Đất Xanh Hội An,LDG > Đất Xanh Hội An,Đất Xanh Hội An,Công ty con,Gớp vốn Nhận vốn góp HĐHTKD,-,1.000.000.000.000,,,,1000000000000.0
Đất Xanh Hội An,LDG > Đất Xanh Hội An,Đất Xanh Hội An,Công ty con,Gớp vốn Nhận vốn góp HĐHTKD,-,997.000.000.000,,,,997000000000.0
Xuân Định,LDG > Xuân Định,Xuân Định,Công ty con,Nhận vốn góp HĐHTKD,-,132.000.000.000,,,,132000000000.0
Vidoland,Vidoland,Vidoland,Công ty con,Nhận vốn góp HĐHTKD Cho vay,-,127.000.000.000 131.700.000,,,,
Nam Sài Gòn,Nam Sài Gòn,Nam Sài Gòn,Bên liên quan,Chi tạm ứng Lãi từ cho vay,-,100.000.000.000 430.521.893,,,,
In Nông Nghiệp,Nam Sài Gòn > In Nông Nghiệp,In Nông Nghiệp,Công ty con,Nhận vốn góp HĐHTKD,-,75.500.000.000,,,,75500000000.0
Ông Lương Trí Thảo,Nam Sài Gòn > Ông Lương Trí Thảo,Ông Lương Trí Thảo,Thành viên Hội đồng quản trị,Doanh thu bán đất,-,1.070.000.000,,,,1070000000.0
