row_label_raw,row_label_full,col_0,VND,numeric__VND
,,,Nhà cửa vàvật kiến trúc,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,30.583.450.171,30583450171.0
Kết chuyển từ hàng tồn kho,Nguyên giá: > Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,14.605.848.068,14605848068.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(5.615.678.643),-5615678643.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,39.573.619.596,39573619596.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,(1.937.691.353),-1937691353.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.179.035.215),-1179035215.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,1.211.692.224,1211692224.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,(1.905.034.344),-1905034344.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,28.645.758.818,28645758818.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,37.668.585.252,37668585252.0
