row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Đất Xanh Miền Nam,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Doanh thu dịch vụ BĐS,54.969.481.926,29.276.834.102,,,54969481926.0,29276834102.0
Đất Xanh Miền Bắc,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Doanh thu dịch vụ BĐS,31.762.112.977,97.557.890.740,,,31762112977.0,97557890740.0
Đất Xanh Miền Trung,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Doanh thu dịch vụ BĐS,19.170.159.340,12.484.691.998,,,19170159340.0,12484691998.0
Đất Xanh Đông Nam Bộ,Phải thu ngắn hạn của khách hàng > Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Doanh thu dịch vụ BĐS,11.306.027.352,11.402.554.086,,,11306027352.0,11402554086.0
Đất Xanh Nha Trang,Phải thu ngắn hạn của khách hàng > Đất Xanh Nha Trang,Đất Xanh Nha Trang,Công ty con,Doanh thu dịch vụ BĐS,106.586.380,402.402.333,,,106586380.0,402402333.0
Ông Lương Trí Tú,Phải thu ngắn hạn của khách hàng > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Doanh thu bán căn hộ,73.506.490,73.506.490,,,73506490.0,73506490.0
DXS,Phải thu ngắn hạn của khách hàng > DXS,DXS,Công ty con,Doanh thu dịch vụ BĐS,61.171.023,507.105.532,,,61171023.0,507105532.0
Đất Xanh Long An,Phải thu ngắn hạn của khách hàng > Đất Xanh Long An,Đất Xanh Long An,Công ty con,Doanh thu dịch vụ BĐS,6.600.000,-,,,6600000.0,
,,,,,117.455.645.488,151.704.985.281,,,117455645488.0,151704985281.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,,,
Hà Thuận Hùng,Phải thu về cho vay > Hà Thuận Hùng,Hà Thuận Hùng,Công ty con,Cho vay,6.041.430.000,-,,,6041430000.0,
Nha Trang Petrol,Phải thu về cho vay > Nha Trang Petrol,Nha Trang Petrol,Bên liên quan,Cho vay,756.370.320,-,,,756370320.0,
LDG,Phải thu về cho vay > LDG,LDG,Công ty liên kết,Cho vay,-,34.800.000.000,,,,34800000000.0
,,,,,6.797.800.320,34.800.000.000,,,6797800320.0,34800000000.0
