row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Năm nay > 2.247.140.767.296 > 1.770.707.653.787,VNDNăm trước > 647.830.456.825 > 2.308.382.812.750,numeric__Năm nay > 2.247.140.767.296 > 1.770.707.653.787,numeric__VNDNăm trước > 647.830.456.825 > 2.308.382.812.750
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(1.592.651.186.937),(687.830.456.825),-1592651186937.0,-687830456825.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(14.306.881.720),(22.504.545.454),-14306881720.0,-22504545454.0
Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,13.335.692.408,1.262.500.000,13335692408.0,1262500000.0
Số cuối năm,Số cuối năm,Số cuối năm,2.424.226.044.834,2.247.140.767.296,2424226044834.0,2247140767296.0
