row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 2.964.309.823,Số phải nộp trong năm > 5.182.484,Số đã nộp trong năm > (2.893.980),VND Số cuối năm > 2.966.598.327,numeric__Số đầu năm > 2.964.309.823,numeric__Số phải nộp trong năm > 5.182.484,numeric__Số đã nộp trong năm > (2.893.980),numeric__VND Số cuối năm > 2.966.598.327
Thuế TNDN,Thuế TNDN,Thuế TNDN,76.485.365.254,95.323.766.430,(83.781.545.381),88.027.586.303,76485365254.0,95323766430.0,-83781545381.0,88027586303.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.244.362.402,17.209.481.800,(16.192.929.676),2.260.914.526,1244362402.0,17209481800.0,-16192929676.0,2260914526.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,80.694.037.479,112.538.430.714,(99.977.369.037),93.255.099.156,80694037479.0,112538430714.0,-99977369037.0,93255099156.0
