row_label_raw,row_label_full,col_0,Phương tiệnvận tải,Thiết bịvăn phòng,Tài sảncó định khác,VNDTổng cộng,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncó định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,13.272.585.934,3.857.087.152,598.090.909,17.727.763.995,13272585934.0,3857087152.0,598090909.0,17727763995.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,2.199.210.817,90.539.675,2.289.750.492,,2199210817.0,90539675.0,2289750492.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,(812.567.273),-,-,(812.567.273),-812567273.0,,,-812567273.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,12.460.018.661,6.056.297.969,688.630.584,19.204.947.214,12460018661.0,6056297969.0,688630584.0,19204947214.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,5.014.936.842,587.126.770,-,5.602.063.612,5014936842.0,587126770.0,,5602063612.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,(7.176.446.955),(1.793.553.791),(124.206.559),(9.094.207.305),-7176446955.0,-1793553791.0,-124206559.0,-9094207305.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.187.439.386),(1.004.812.740),(205.101.906),(2.397.354.032),-1187439386.0,-1004812740.0,-205101906.0,-2397354032.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,330.105.443,-,-,330.105.443,330105443.0,,,330105443.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,(8.033.780.898),(2.798.366.531),(329.308.465),(11.161.455.894),-8033780898.0,-2798366531.0,-329308465.0,-11161455894.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,6.096.138.979,2.063.533.361,473.884.350,8.633.556.690,6096138979.0,2063533361.0,473884350.0,8633556690.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,4.426.237.763,3.257.931.438,359.322.119,8.043.491.320,4426237763.0,3257931438.0,359322119.0,8043491320.0
