row_label_raw,row_label_full,col_0,Phần mềm,Trang web,Tài sản khác,VND Tổng cộng,numeric__Phần mềm,numeric__Trang web,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,3.972.249.717,657.166.005,310.734.600,4.940.150.322,3972249717.0,657166005.0,310734600.0,4940150322.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.226.695.200,-,-,1.226.695.200,1226695200.0,,,1226695200.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,5.198.944.917,657.166.005,310.734.600,6.166.845.522,5198944917.0,657166005.0,310734600.0,6166845522.0
Trong đó:Đã hao mòn hết,Nguyên giá: > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,701.917.309,442.166.005,107.434.600,1.251.517.914,701917309.0,442166005.0,107434600.0,1251517914.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,(1.218.824.739),(498.561.847),(234.497.088),(1.951.883.674),-1218824739.0,-498561847.0,-234497088.0,-1951883674.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(948.917.996),(82.354.156),(50.825.010),(1.082.097.162),-948917996.0,-82354156.0,-50825010.0,-1082097162.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,(2.167.742.735),(580.916.003),(285.322.098),(3.033.980.836),-2167742735.0,-580916003.0,-285322098.0,-3033980836.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,2.753.424.978,158.604.158,76.237.512,2.988.266.648,2753424978.0,158604158.0,76237512.0,2988266648.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,3.031.202.182,76.250.002,25.412.502,3.132.864.686,3031202182.0,76250002.0,25412502.0,3132864686.0
