row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,,,
Đất Xanh Hội An,Phải trả khác > Đất Xanh Hội An,Đất Xanh Hội An,Công ty con,Vốn nhận từ HĐHTKD,997.000.000.000,997.000.000.000,,,997000000000.0,997000000000.0
Saigon Riverside,Phải trả khác > Saigon Riverside,Saigon Riverside,Công ty con,Vốn nhận từ HĐHTKD,383.393.275.000,711.500.000.000,,,383393275000.0,711500000000.0
DXS,Phải trả khác > DXS,DXS,Công ty con,Vốn nhận từ HĐHTKDThu hộ tiền dự án,191.911.150.2462.608.841.696,-51.117.576.503,,,1.9191115024626087e+21,-51117576503.0
Xuân Định,Phải trả khác > Xuân Định,Xuân Định,Công ty con,Vốn nhận từ HĐHTKD,132.000.000.000,132.000.000.000,,,132000000000.0,132000000000.0
Thăng Long Petrol,Phải trả khác > Thăng Long Petrol,Thăng Long Petrol,Công ty con,Vốn nhận từ HĐHTKD,138.500.000.000,-,,,138500000000.0,
Vidoland,Phải trả khác > Vidoland,Vidoland,Công ty con,Vốn nhận từ HĐHTKD,124.502.906.277,127.000.000.000,,,124502906277.0,127000000000.0
In Nông Nghiệp,Phải trả khác > In Nông Nghiệp,In Nông Nghiệp,Công ty con,Vốn nhận từ HĐHTKD,75.500.000.000,75.500.000.000,,,75500000000.0,75500000000.0
Đất Xanh Miền Nam,Phải trả khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Vốn nhận từ HĐHTKDThu hộ tiền dự án,7.783.744.458-,-417.147.545,,,,-417147545.0
Hà Thuận Hùng,Phải trả khác > Hà Thuận Hùng,Hà Thuận Hùng,Công ty con,Thu hộ tiền dự án,2.163.899.446,808.127.552,,,2163899446.0,808127552.0
Đất Xanh Miền Bắc,Phải trả khác > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Nhận chuyển nhượng cổ phần,-,126.150.812.000,,,,126150812000.0
Khác,Phải trả khác > Khác,Khác,,,656.440.680,662.490.680,,,656440680.0,662490680.0
,,,,,2.056.020.257.803,2.222.156.154.280,,,2056020257803.0,2222156154280.0
