row_label_raw,row_label_full,Tình trạng hoạt động,Số cuối năm,Số cuối năm_1,Số đau nam,Số đau nam_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đau nam,numeric__Số đau nam_1
Tình trạng hoạt động,Tình trạng hoạt động,Tình trạng hoạt động,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,,,,
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,"99,99",1.099.890.140.000,100,99.839.000.000,99.99,1099890140000.0,100.0,99839000000.0
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,100,1.000.000.000.000,100,1.000.000.000.000,100.0,1000000000000.0,100.0,1000000000000.0
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,75,712.500.000.000,75,712.500.000.000,75.0,712500000000.0,75.0,712500000000.0
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,"99,9",573.275.645.890,"99,9",573.275.645.890,99.9,573275645890.0,99.9,573275645890.0
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,"99,99",372.908.259.936,-,-,99.99,372908259936.0,,
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,"99,9",319.725.595.985,"99,9",187.448.297.795,99.9,319725595985.0,99.9,187448297795.0
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,"99,91",295.740.000.000,"99,89",235.740.000.000,99.91,295740000000.0,99.89,235740000000.0
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,"99,99",237.998.968.240,"99,99",237.998.968.240,99.99,237998968240.0,99.99,237998968240.0
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,"99,99",205.000.000.000,"99,99",205.000.000.000,99.99,205000000000.0,99.99,205000000000.0
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,"99,99",198.367.355.752,"99,99",125.102.377.251,99.99,198367355752.0,99.99,125102377251.0
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,"99,99",132.985.600.000,"99,98",132.985.600.000,99.99,132985600000.0,99.98,132985600000.0
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,"89,26",31.914.675.000,"89,26",31.914.675.000,89.26,31914675000.0,89.26,31914675000.0
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,100,26.537.766.576,-,-,100.0,26537766576.0,,
g hoạt động,Tình trạng hoạt động > g hoạt động,g hoạt động,-,-,55,155.210.000.000,,,55.0,155210000000.0
