row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2018,Năm kết thúc ngày 31 tháng 12 năm 2018_1,Miền Bắc (*) > Triệu VND,Miền Trung và Tây Nguyên > Triệu VND,Miền Nam > Triệu VND,Loại trừ > Triệu VND,Tổng cộng > Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2018_1,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Trung và Tây Nguyên > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Loại trừ > Triệu VND,numeric__Tổng cộng > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,77.325.565,13.535.869,37.962.565,(73.404.734),55.419.265,,77325565.0,13535869.0,37962565.0,-73404734.0,55419265.0
2,2,2,Chi phí lãi và các chi phí tương tự,(65.700.184),(9.365.838),(25.738.469),73.404.734,(27.399.757),,-65700184.0,-9365838.0,-25738469.0,73404734.0,-27399757.0
I,I,I,Thu nhập lãi thuần,11.625.381,4.170.031,12.224.096,-,28.019.508,,11625381.0,4170031.0,12224096.0,,28019508.0
3,3,3,Thu nhập từ hoạt động dịch vụ,3.396.194,684.271,2.637.085,(958),6.716.592,,3396194.0,684271.0,2637085.0,-958.0,6716592.0
4,4,4,Chi phí hoạt động dịch vụ,(3.421.834),(23.077),(91.587),958,(3.535.540),,-3421834.0,-23077.0,-91587.0,958.0,-3535540.0
II,II,II,(Lỗ)/lãi thuần từ hoạt động dịch vụ,(25.640),661.194,2.545.498,-,3.181.052,,-25640.0,661194.0,2545498.0,,3181052.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,1.650.076,93.355,519.822,-,2.263.253,,1650076.0,93355.0,519822.0,,2263253.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,187.867,-,-,-,187.867,,187867.0,,,,187867.0
5,5,5,Thu nhập từ hoạt động khác,1.544.514,473.740,1.485.207,-,3.503.461,,1544514.0,473740.0,1485207.0,,3503461.0
6,6,6,Chi phí hoạt động khác,(146.523),(42.005),(87.956),-,(276.484),,-146523.0,-42005.0,-87956.0,,-276484.0
VI,VI,VI,Lãi thuần từ hoạt động khác,1.397.991,431.735,1.397.251,-,3.226.977,,1397991.0,431735.0,1397251.0,,3226977.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",1.765.913,-,-,-,1.765.913,,1765913.0,,,,1765913.0
,,,Tổng thu nhập hoạt động,16.601.588,5.356.315,16.686.667,-,38.644.570,,16601588.0,5356315.0,16686667.0,,38644570.0
VIII,VIII,VIII,Chi phí hoạt động,(8.413.777),(1.297.009),(3.518.051),-,(13.228.837),,-8413777.0,-1297009.0,-3518051.0,,-13228837.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,8.187.811,4.059.306,13.168.616,-,25.415.733,,8187811.0,4059306.0,13168616.0,,25415733.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(6.256.435),(864.555),(278.515),-,(7.399.505),,-6256435.0,-864555.0,-278515.0,,-7399505.0
XI,XI,XI,Tổng lợi nhuận trước thuế,1.931.376,3.194.751,12.890.101,-,18.016.228,,1931376.0,3194751.0,12890101.0,,18016228.0
7,7,7,Chi phí thuế TNDN hiện hành,(342.101),(639.744),(2.579.716),-,(3.561.561),,-342101.0,-639744.0,-2579716.0,,-3561561.0
XII,XII,XII,Chi phí thuế TNDN,(342.101),(639.744),(2.579.716),-,(3.561.561),,-342101.0,-639744.0,-2579716.0,,-3561561.0
XIII,XIII,XIII,Lợi nhuận sau thuế,1.589.275,2.555.007,10.310.385,-,14.454.667,,1589275.0,2555007.0,10310385.0,,14454667.0
