row_label_raw,row_label_full,col_0,Vốn điều lệ,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Tổng cộng,Triệu VND,Triệu VND,,,,,,,
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,35.977.686,-,2.360.389,4.688.445,7.048.834,8.263.043,51.289.563,35977686.0,,2360389.0,4688445.0,7048834.0,8263043.0,51289563.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,14.454.667,14.454.667,,,,,,14454667.0,14454667.0
Tạm trích các quỹ dự trữ bắt buộc trong năm 2018,Tạm trích các quỹ dự trữ bắt buộc trong năm 2018,Tạm trích các quỹ dự trữ bắt buộc trong năm 2018,-,-,722.733,1.445.467,2.168.200,(2.168.200),-,,,722733.0,1445467.0,2168200.0,-2168200.0,
"Tạm trích quỹ khen thưởng, phúc lợi trong năm 2018","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2018","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2018",-,-,-,-,-,(1.670.475),(1.670.475),,,,,,-1670475.0,-1670475.0
Điều chỉnh theo Nghị quyết của Đại hội đồng Cổ đông,Điều chỉnh theo Nghị quyết của Đại hội đồng Cổ đông,Điều chỉnh theo Nghị quyết của Đại hội đồng Cổ đông,-,412,2.218,4.435,6.653,(399.414),(392.349),,412.0,2218.0,4435.0,6653.0,-399414.0,-392349.0
Trả cổ tức năm 2017 (Thuyết minh 23),Trả cổ tức năm 2017 (Thuyết minh 23),Trả cổ tức năm 2017 (Thuyết minh 23),-,-,-,-,-,(2.878.215),(2.878.215),,,,,,-2878215.0,-2878215.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,-,(13.081),(13.081),-,(13.081),,,,-13081.0,-13081.0,,-13081.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(1.459),(1.459),,,,,,-1459.0,-1459.0
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,35.977.686,412,3.085.340,6.125.266,9.210.606,15.599.947,60.788.651,35977686.0,412.0,3085340.0,6125266.0,9210606.0,15599947.0,60788651.0
