row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2018Triệu VND,31/12/2017Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2018Triệu VND,numeric__31/12/2017Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,16,90.685.315,171.385.068,,16.0,90685315.0,171385068.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,75.647.514,65.824.412,,17.0,75647514.0,65824412.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,75.647.514,56.087.787,,,75647514.0,56087787.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,-,9.736.625,,,,9736625.0
III,B > III,III,Tiền gửi của khách hàng,18,802.114.711,708.748.578,,18.0,802114711.0,708748578.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,25.803,23.153,,19.0,25803.0,23153.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,21.418.647,18.002.017,,20.0,21418647.0,18002017.0
VII,B > VII,VII,Các khoản nợ khác,,20.618.490,17.040.267,,,20618490.0,17040267.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),8.715.301,8.461.859,,,8715301.0,8461859.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),11.903.189,8.578.408,,,11903189.0,8578408.0
,,,TỔNG NỘ PHẢI TRẢ,,1.010.510.480,981.023.495,,,1010510480.0,981023495.0
VIII,VIII,VIII,Vốn chủ sở hữu,,,,,,,
1,VIII > 1,1,Vốn của tổ chức tín dụng,,35.978.098,35.977.686,,,35978098.0,35977686.0
a,VIII > a,a,Vốn điều lệ,,35.977.686,35.977.686,,,35977686.0,35977686.0
g,VIII > g,g,Vốn khác,,412,-,,,412.0,
2,VIII > 2,2,Quỹ của tổ chức tín dụng,,9.210.606,7.048.834,,,9210606.0,7048834.0
5,VIII > 5,5,Lợi nhuận chưa phân phối,,15.599.947,8.263.043,,,15599947.0,8263043.0
a,VIII > a,a,Lợi nhuận để lại năm trước,,4.983.956,2.244.258,,,4983956.0,2244258.0
b,VIII > b,b,Lợi nhuận để lại năm nay,,10.615.991,6.018.785,,,10615991.0,6018785.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),60.788.651,51.289.563,,,60788651.0,51289563.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.071.299.131,1.032.313.058,,,1071299131.0,1032313058.0
