row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Bản quyền và bằng sáng chế Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Bản quyền và bằng sáng chế Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.888.130,590.463,76.774,2.555.367,1888130.0,590463.0,76774.0,2555367.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,153.826,11.882,-,165.708,153826.0,11882.0,,165708.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,153.406,9.822,-,163.228,153406.0,9822.0,,163228.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,420,2.060,-,2.480,420.0,2060.0,,2480.0
Giảm khác trong năm,Nguyên giá > Giảm khác trong năm,Giảm khác trong năm,-,(27),-,(27),,-27.0,,-27.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.041.956,602.318,76.774,2.721.048,2041956.0,602318.0,76774.0,2721048.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,43.715,506.182,61.561,611.458,43715.0,506182.0,61561.0,611458.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,15.412,40.493,-,55.905,15412.0,40493.0,,55905.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,14.027,39.169,-,53.196,14027.0,39169.0,,53196.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,1.385,1.324,-,2.709,1385.0,1324.0,,2709.0
Giảm khác trong năm,Hao mòn lũy kế > Giảm khác trong năm,Giảm khác trong năm,-,(3),-,(3),,-3.0,,-3.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,59.127,546.672,61.561,667.360,59127.0,546672.0,61561.0,667360.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.844.415,84.281,15.213,1.943.909,1844415.0,84281.0,15213.0,1943909.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.982.829,55.646,15.213,2.053.688,1982829.0,55646.0,15213.0,2053688.0
