row_label_raw,row_label_full,col_0,col_1,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__Tổng cộngTriệu VND
,,,,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,
I,Tài sản > I,I,"Tiền mặt, vàng bạc, đá quý",9.761.185,2.245.511,382.899,389.579,12.779.174,,9761185.0,2245511.0,382899.0,389579.0,12779174.0
II,Tài sản > II,II,Tiền gửi tại NHNNVN,6.696.966,3.455.277,-,-,10.152.243,,6696966.0,3455277.0,,,10152243.0
III,Tài sản > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,129.690.962,96.444.317,15.974.303,9.857.418,251.967.000,,129690962.0,96444317.0,15974303.0,9857418.0,251967000.0
IV,Tài sản > IV,IV,Chứng khoán kinh doanh – gộp,1.757.474,-,-,-,1.757.474,,1757474.0,,,,1757474.0
V,Tài sản > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,52.883.329,(52.589.913),24.157,(41.590),275.983,,52883329.0,-52589913.0,24157.0,-41590.0,275983.0
VI,Tài sản > VI,VI,Cho vay khách hàng – gộp,542.731.530,84.233.963,205.318,12.242,627.183.053,,542731530.0,84233963.0,205318.0,12242.0,627183053.0
VII,Tài sản > VII,VII,Chứng khoán đầu tư – gộp,91.564.099,58.000.000,-,-,149.564.099,,91564099.0,58000000.0,,,149564099.0
VIII,Tài sản > VIII,VIII,"Gộp vốn, đầu tư dài hạn – gộp",5.904.323,-,-,-,5.904.323,,5904323.0,,,,5904323.0
IX,Tài sản > IX,IX,Tài sản cố định,6.194.680,-,-,-,6.194.680,,6194680.0,,,,6194680.0
X,Tài sản > X,X,Tài sản Có khác – gộp,15.622.943,1.447.125,13.406,25.208,17.108.682,,15622943.0,1447125.0,13406.0,25208.0,17108682.0
,,,Tổng tài sản,862.807.491,193.236.280,16.600.083,10.242.857,1.082.886.711,,862807491.0,193236280.0,16600083.0,10242857.0,1082886711.0
,,,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
I,Tài sản > I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,104.719.259,41.934.500,12.642.279,7.036.791,166.332.829,,104719259.0,41934500.0,12642279.0,7036791.0,166332829.0
II,Tài sản > II,II,Tiền gửi của khách hàng,650.309.271,143.774.111,4.850.975,3.180.354,802.114.711,,650309271.0,143774111.0,4850975.0,3180354.0,802114711.0
IV,Tài sản > IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",25.803,-,-,-,25.803,,25803.0,,,,25803.0
V,Tài sản > V,V,Phát hành giấy tờ có giá,21.417.612,1.035,-,-,21.418.647,,21417612.0,1035.0,,,21418647.0
VI,Tài sản > VI,VI,Các khoản nợ phải trả khác,18.612.286,1.841.331,110.713,54.160,20.618.490,,18612286.0,1841331.0,110713.0,54160.0,20618490.0
,,,Tổng nợ phải trả,795.084.231,187.550.977,17.603.967,10.271.305,1.010.510.480,,795084231.0,187550977.0,17603967.0,10271305.0,1010510480.0
,,,Trạng thái tiền tệ nội bằng,67.723.260,5.685.303,(1.003.884),(28.448),72.376.231,,67723260.0,5685303.0,-1003884.0,-28448.0,72376231.0
