row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp(%),Giá gốcTriệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp(%),numeric__Giá gốcTriệu VND
Công ty TNHH Một thành viên Cho thuê,Công ty TNHH Một thành viên Cho thuê,Công ty TNHH Một thành viên Cho thuê,Công ty TNHH Một thành viên Cho thuê,Công ty TNHH Một thành viên Cho thuê,Công ty TNHH Một thành viên Cho thuê,,,
Tài chính Vietcombank,Công ty TNHH Một thành viên Cho thuê > Tài chính Vietcombank,Tài chính Vietcombank,Cho thuê tài chính,100%,500.000,,1.0,500000.0
Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Một thành viên Cho thuê > Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Chứng khoán,100%,700.000,,1.0,700000.0
Công ty Tài chính Việt Nam tại Hồng Kông,Công ty TNHH Một thành viên Cho thuê > Công ty Tài chính Việt Nam tại Hồng Kông,Công ty Tài chính Việt Nam tại Hồng Kông,Dịch vụ tài chính,100%,116.902,,1.0,116902.0
Công ty Chuyển tiền Vietcombank,Công ty TNHH Một thành viên Cho thuê > Công ty Chuyển tiền Vietcombank,Công ty Chuyển tiền Vietcombank,Chuyển tiền kiểu hồi,"87,5%",204.978,,0.875,204978.0
Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Một thành viên Cho thuê > Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Cho thuê văn phòng,70%,70.000,,0.7,70000.0
Công ty TNHH MTV Kiều hồi Vietcombank,Công ty TNHH Một thành viên Cho thuê > Công ty TNHH MTV Kiều hồi Vietcombank,Công ty TNHH MTV Kiều hồi Vietcombank,Nhận tiền kiểu hồi,100%,30.000,,1.0,30000.0
,,,,,1.621.880,,,1621880.0
