row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.290.743.387,5.226.419.538,7.517.162.925,2290743387.0,5226419538.0,7517162925.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.010.389.000,-,1.010.389.000,1010389000.0,,1010389000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,3.301.132.387,5.226.419.538,8.527.551.925,3301132387.0,5226419538.0,8527551925.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,2.135.834.294,2.966.637.720,5.102.472.014,2135834294.0,2966637720.0,5102472014.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(2.208.379.745),(3.013.859.946),(5.222.239.691),-2208379745.0,-3013859946.0,-5222239691.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(79.702.721),(465.289.704),(544.992.425),-79702721.0,-465289704.0,-544992425.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(2.288.082.466),(3.479.149.650),(5.767.232.116),-2288082466.0,-3479149650.0,-5767232116.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,82.363.642,2.212.559.592,2.294.923.234,82363642.0,2212559592.0,2294923234.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.013.049.921,1.747.269.888,2.760.319.809,1013049921.0,1747269888.0,2760319809.0
