row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,434.359.131.796,-,(387.162.712.662),47.196.419.134,434359131796.0,,-387162712662.0,47196419134.0
Vay từ bên khác (*),Vay từ bên khác (*),Vay từ bên khác (*),47.775.085.539,-,(578.666.405),47.196.419.134,47775085539.0,,-578666405.0,47196419134.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,386.584.046.257,-,(386.584.046.257),-,386584046257.0,,-386584046257.0,
Vay dài hạn,Vay dài hạn,Vay dài hạn,2.807.288.002.150,64.477.350.000,(2.871.765.352.150),-,2807288002150.0,64477350000.0,-2871765352150.0,
Trái phiếu phát hành,Trái phiếu phát hành,Trái phiếu phát hành,2.051.922.650.000,64.477.350.000,(2.116.400.000.000),-,2051922650000.0,64477350000.0,-2116400000000.0,
Vay từ các cá nhân,Vay từ các cá nhân,Vay từ các cá nhân,155.600.000.000,-,(155.600.000.000),-,155600000000.0,,-155600000000.0,
Vay từ ngân hàng,Vay từ ngân hàng,Vay từ ngân hàng,599.765.352.150,-,(599.765.352.150),-,599765352150.0,,-599765352150.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.241.647.133.946,64.477.350.000,(3.258.928.064.812),47.196.419.134,3241647133946.0,64477350000.0,-3258928064812.0,47196419134.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay từ các bên liên quan (Thuyết minh số 31),Trong đó: > Vay từ các bên liên quan (Thuyết minh số 31),Vay từ các bên liên quan (Thuyết minh số 31),5.300.000.000,-,(5.300.000.000),-,5300000000.0,,-5300000000.0,
